# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
1	0.075789	0.075789
2	0.381736	0.305947
3	0.671766	0.290030
4	0.970089	0.298323
5	1.265818	0.295729
6	1.569033	0.303215
7	1.885984	0.316951
8	2.209458	0.323474
9	2.545646	0.336188
10	2.894960	0.349314
11	3.253568	0.358608
12	3.620331	0.366763
13	3.998687	0.378356
14	4.381346	0.382659
15	4.770176	0.388830
16	5.172800	0.402624
17	5.583539	0.410739
18	5.995536	0.411997
19	6.418222	0.422686
20	6.856117	0.437895
21	7.310518	0.454401
22	7.774842	0.464324
23	8.266951	0.492109
24	8.775448	0.508497
25	9.324973	0.549525
26	9.901084	0.576111
27	10.524944	0.623860
28	11.196789	0.671845
29	11.945759	0.748970
30	12.754936	0.809177
31	13.661281	0.906345
32	14.671790	1.010509
33	15.792809	1.121019
34	17.049097	1.256288
35	18.452660	1.403563
36	20.025958	1.573298
37	21.773077	1.747119
38	23.696769	1.923692
39	25.798488	2.101719
40	28.089316	2.290828
41	30.563201	2.473885
42	33.220006	2.656805
43	36.033891	2.813885
44	38.996623	2.962732
45	42.065759	3.069136
46	45.259572	3.193813
47	48.511411	3.251839
48	51.815185	3.303774
49	55.103199	3.288014
50	58.375061	3.271862
51	61.610277	3.235216
52	64.767483	3.157206
53	67.799441	3.031958
54	70.703499	2.904058
55	73.455998	2.752499
56	76.049177	2.593179
57	78.479931	2.430754
58	80.734938	2.255007
59	82.798576	2.063638
60	84.673026	1.874450
61	86.372102	1.699076
62	87.891500	1.519398
63	89.257335	1.365835
64	90.465088	1.207753
65	91.529142	1.064054
66	92.469265	0.940123
67	93.280545	0.811280
68	93.990353	0.709808
69	94.599869	0.609516
70	95.124007	0.524138
71	95.578604	0.454597
72	95.961676	0.383072
73	96.296331	0.334655
74	96.581587	0.285256
75	96.822749	0.241162
76	97.028030	0.205281
77	97.206941	0.178911
78	97.359050	0.152109
79	97.494633	0.135583
80	97.610704	0.116071
81	97.709955	0.099251
82	97.801110	0.091155
83	97.880633	0.079523
84	97.952197	0.071564
85	98.016471	0.064274
86	98.075224	0.058753
87	98.131147	0.055923
88	98.179505	0.048358
89	98.224071	0.044566
90	98.265925	0.041854
91	98.306954	0.041029
92	98.345762	0.038808
93	98.383155	0.037393
94	98.419821	0.036666
95	98.453933	0.034112
96	98.485353	0.031420
97	98.514572	0.029219
98	98.544656	0.030084
99	98.571989	0.027333
100	98.598497	0.026508
101	98.625849	0.027352
102	98.650529	0.024680
103	98.677292	0.026763
104	98.702915	0.025623
105	98.728067	0.025152
106	98.751352	0.023285
107	98.774460	0.023108
108	98.798138	0.023678
109	98.820421	0.022283
110	98.842193	0.021772
111	98.862904	0.020711
112	98.884755	0.021851
113	98.904798	0.020043
114	98.924585	0.019787
115	98.945473	0.020888
116	98.964730	0.019257
117	98.983594	0.018864
118	99.001691	0.018097
