# [1]Indel length	[2]Count
-60	2350
-59	43
-58	80
-57	54
-56	111
-55	61
-54	103
-53	50
-52	124
-51	83
-50	157
-49	132
-48	180
-47	91
-46	148
-45	112
-44	206
-43	101
-42	226
-41	144
-40	370
-39	177
-38	271
-37	211
-36	415
-35	253
-34	404
-33	253
-32	609
-31	295
-30	680
-29	367
-28	904
-27	469
-26	913
-25	663
-24	1513
-23	579
-22	1275
-21	765
-20	2442
-19	894
-18	2183
-17	1161
-16	3728
-15	2324
-14	3476
-13	2054
-12	7463
-11	2681
-10	7669
-9	4223
-8	13135
-7	5374
-6	15921
-5	14859
-4	50136
-3	34305
-2	90625
-1	226158
1	229090
2	89001
3	32014
4	47113
5	13769
6	15493
7	4879
8	12859
9	3943
10	7106
11	2355
12	7047
13	1742
14	3195
15	2121
16	3535
17	998
18	1976
19	823
20	2298
21	701
22	1097
23	529
24	1415
25	581
26	797
27	445
28	833
29	313
30	666
31	320
32	566
33	205
34	355
35	272
36	351
37	189
38	239
39	151
40	299
41	130
42	178
43	111
44	171
45	115
46	128
47	105
48	162
49	109
50	128
51	58
52	117
53	77
54	100
55	55
56	100
57	55
58	81
59	51
60	2362
