# [1]Indel length	[2]Count
-60	2588
-59	49
-58	84
-57	66
-56	118
-55	61
-54	119
-53	73
-52	136
-51	88
-50	182
-49	157
-48	199
-47	118
-46	155
-45	119
-44	225
-43	135
-42	227
-41	142
-40	394
-39	189
-38	335
-37	217
-36	438
-35	250
-34	413
-33	296
-32	656
-31	318
-30	785
-29	408
-28	934
-27	503
-26	921
-25	724
-24	1540
-23	654
-22	1338
-21	834
-20	2590
-19	1000
-18	2308
-17	1237
-16	3897
-15	2462
-14	3768
-13	2205
-12	7901
-11	2837
-10	7913
-9	4441
-8	14025
-7	5639
-6	16753
-5	15733
-4	52437
-3	36157
-2	94964
-1	235900
1	239441
2	93729
3	33594
4	49415
5	14344
6	16247
7	5191
8	13805
9	4071
10	7539
11	2519
12	7407
13	1881
14	3378
15	2249
16	3779
17	1082
18	2177
19	867
20	2529
21	834
22	1190
23	594
24	1495
25	704
26	830
27	477
28	899
29	335
30	721
31	335
32	535
33	237
34	401
35	290
36	464
37	214
38	265
39	140
40	344
41	139
42	214
43	131
44	174
45	129
46	155
47	120
48	180
49	119
50	164
51	94
52	135
53	81
54	136
55	80
56	110
57	65
58	83
59	66
60	2806
