# [1]Indel length	[2]Count
-60	2466
-59	37
-58	87
-57	63
-56	116
-55	67
-54	115
-53	70
-52	128
-51	79
-50	160
-49	168
-48	218
-47	107
-46	152
-45	141
-44	230
-43	124
-42	242
-41	135
-40	377
-39	192
-38	297
-37	207
-36	457
-35	233
-34	425
-33	278
-32	683
-31	314
-30	799
-29	367
-28	942
-27	528
-26	934
-25	721
-24	1535
-23	657
-22	1266
-21	831
-20	2499
-19	1006
-18	2353
-17	1268
-16	3818
-15	2390
-14	3652
-13	2136
-12	7695
-11	2853
-10	7700
-9	4352
-8	13629
-7	5558
-6	16462
-5	15044
-4	51181
-3	35238
-2	93005
-1	230975
1	235765
2	92272
3	33412
4	48586
5	14257
6	15970
7	5237
8	13717
9	4175
10	7411
11	2643
12	7551
13	1895
14	3469
15	2218
16	3698
17	1127
18	2230
19	887
20	2478
21	815
22	1208
23	622
24	1525
25	619
26	902
27	490
28	868
29	338
30	754
31	317
32	585
33	258
34	359
35	279
36	433
37	207
38	264
39	168
40	335
41	121
42	219
43	132
44	182
45	121
46	168
47	95
48	206
49	127
50	142
51	91
52	129
53	91
54	123
55	85
56	103
57	66
58	101
59	70
60	2931
