# [1]Indel length	[2]Mean VAF
-60	0.58
-59	0.56
-58	0.60
-57	0.60
-56	0.59
-55	0.61
-54	0.64
-53	0.63
-52	0.58
-51	0.61
-50	0.57
-49	0.58
-48	0.63
-47	0.56
-46	0.63
-45	0.59
-44	0.61
-43	0.60
-42	0.64
-41	0.66
-40	0.61
-39	0.61
-38	0.65
-37	0.60
-36	0.65
-35	0.62
-34	0.68
-33	0.61
-32	0.64
-31	0.63
-30	0.63
-29	0.65
-28	0.65
-27	0.63
-26	0.64
-25	0.64
-24	0.65
-23	0.63
-22	0.66
-21	0.65
-20	0.63
-19	0.66
-18	0.65
-17	0.67
-16	0.64
-15	0.64
-14	0.65
-13	0.68
-12	0.64
-11	0.67
-10	0.63
-9	0.65
-8	0.63
-7	0.65
-6	0.63
-5	0.63
-4	0.63
-3	0.64
-2	0.64
-1	0.68
1	0.67
2	0.64
3	0.65
4	0.64
5	0.64
6	0.60
7	0.63
8	0.59
9	0.62
10	0.58
11	0.62
12	0.59
13	0.63
14	0.58
15	0.60
16	0.58
17	0.63
18	0.58
19	0.65
20	0.57
21	0.63
22	0.60
23	0.65
24	0.59
25	0.62
26	0.60
27	0.66
28	0.61
29	0.66
30	0.59
31	0.64
32	0.61
33	0.62
34	0.61
35	0.61
36	0.60
37	0.70
38	0.63
39	0.63
40	0.63
41	0.62
42	0.65
43	0.67
44	0.63
45	0.63
46	0.67
47	0.63
48	0.62
49	0.60
50	0.64
51	0.61
52	0.66
53	0.66
54	0.62
55	0.61
56	0.66
57	0.64
58	0.64
59	0.64
60	0.65
