# [1]Indel length	[2]Count
-60	2536
-59	45
-58	69
-57	55
-56	115
-55	69
-54	119
-53	64
-52	103
-51	86
-50	150
-49	142
-48	187
-47	111
-46	158
-45	133
-44	208
-43	114
-42	230
-41	126
-40	375
-39	174
-38	268
-37	204
-36	441
-35	235
-34	380
-33	276
-32	643
-31	295
-30	730
-29	399
-28	937
-27	491
-26	911
-25	696
-24	1480
-23	660
-22	1231
-21	769
-20	2504
-19	1028
-18	2194
-17	1218
-16	3797
-15	2406
-14	3598
-13	2073
-12	7553
-11	2777
-10	7791
-9	4276
-8	13537
-7	5444
-6	16105
-5	15242
-4	51026
-3	35269
-2	92908
-1	232330
1	236007
2	91757
3	33164
4	48244
5	14270
6	15782
7	5241
8	13304
9	4023
10	7250
11	2589
12	7159
13	1858
14	3193
15	2176
16	3659
17	1024
18	2036
19	872
20	2336
21	754
22	1111
23	588
24	1409
25	655
26	760
27	443
28	842
29	306
30	641
31	298
32	548
33	230
34	336
35	253
36	363
37	165
38	224
39	177
40	299
41	123
42	195
43	107
44	160
45	117
46	130
47	108
48	170
49	95
50	122
51	84
52	118
53	64
54	98
55	77
56	101
57	59
58	80
59	60
60	2212
