# [1]Indel length	[2]Count
-60	2355
-59	44
-58	68
-57	57
-56	104
-55	62
-54	113
-53	53
-52	124
-51	87
-50	146
-49	134
-48	204
-47	109
-46	170
-45	113
-44	208
-43	116
-42	218
-41	143
-40	361
-39	179
-38	315
-37	206
-36	450
-35	237
-34	400
-33	263
-32	601
-31	295
-30	783
-29	372
-28	891
-27	497
-26	952
-25	707
-24	1573
-23	639
-22	1301
-21	787
-20	2483
-19	1002
-18	2144
-17	1168
-16	3698
-15	2336
-14	3570
-13	2037
-12	7651
-11	2660
-10	7678
-9	4266
-8	13429
-7	5427
-6	16259
-5	14857
-4	50301
-3	34658
-2	91037
-1	228320
1	230350
2	89685
3	32253
4	47524
5	13594
6	15589
7	4934
8	13202
9	3924
10	7238
11	2378
12	7134
13	1772
14	3180
15	2076
16	3535
17	1069
18	2005
19	841
20	2298
21	786
22	1142
23	532
24	1434
25	634
26	792
27	475
28	815
29	330
30	659
31	258
32	513
33	234
34	352
35	248
36	403
37	207
38	257
39	157
40	316
41	133
42	184
43	101
44	180
45	126
46	152
47	100
48	172
49	112
50	132
51	79
52	121
53	72
54	115
55	82
56	89
57	64
58	73
59	67
60	2496
