# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
1	0.080190	0.080190
2	0.422347	0.342157
3	0.731684	0.309337
4	1.038831	0.307147
5	1.349402	0.310571
6	1.667615	0.318213
7	1.991620	0.324005
8	2.330991	0.339371
9	2.681707	0.350716
10	3.037378	0.355671
11	3.408713	0.371335
12	3.791990	0.383277
13	4.188662	0.396672
14	4.598510	0.409848
15	5.021474	0.422964
16	5.459067	0.437593
17	5.916365	0.457298
18	6.376628	0.460263
19	6.855341	0.478713
20	7.363591	0.508250
21	7.884539	0.520948
22	8.436417	0.551878
23	9.026250	0.589833
24	9.645142	0.618892
25	10.310449	0.665307
26	11.016219	0.705770
27	11.779211	0.762992
28	12.611645	0.832434
29	13.512109	0.900464
30	14.491131	0.979022
31	15.571341	1.080210
32	16.748600	1.177259
33	18.032460	1.283860
34	19.449613	1.417153
35	21.002187	1.552574
36	22.701190	1.699003
37	24.549647	1.848457
38	26.549508	1.999861
39	28.721373	2.171865
40	31.047846	2.326473
41	33.544851	2.497005
42	36.179069	2.634218
43	38.956929	2.777860
44	41.857452	2.900523
45	44.868220	3.010768
46	47.975379	3.107159
47	51.130625	3.155246
48	54.320701	3.190076
49	57.520948	3.200247
50	60.717831	3.196883
51	63.855741	3.137910
52	66.913520	3.057779
53	69.869355	2.955835
54	72.707760	2.838405
55	75.399637	2.691877
56	77.933303	2.533666
57	80.279879	2.346576
58	82.455087	2.175208
59	84.450111	1.995024
60	86.255318	1.805207
61	87.879106	1.623788
62	89.342673	1.463567
63	90.622254	1.279581
64	91.751028	1.128774
65	92.735105	0.984077
66	93.589493	0.854388
67	94.328302	0.738809
68	94.953066	0.624764
69	95.486394	0.533328
70	95.941224	0.454830
71	96.323984	0.382760
72	96.647830	0.323846
73	96.921779	0.273949
74	97.147482	0.225703
75	97.338434	0.190952
76	97.503173	0.164739
77	97.641640	0.138467
78	97.756761	0.115121
79	97.858049	0.101288
80	97.946181	0.088132
81	98.023963	0.077782
82	98.088529	0.064566
83	98.148617	0.060088
84	98.203271	0.054654
85	98.253427	0.050156
86	98.299961	0.046534
87	98.345460	0.045499
88	98.387257	0.041797
89	98.426705	0.039448
90	98.463884	0.037179
91	98.498337	0.034453
92	98.532332	0.033995
93	98.563202	0.030870
94	98.591982	0.028780
95	98.620444	0.028462
96	98.649742	0.029298
97	98.678363	0.028621
98	98.704974	0.026611
99	98.732540	0.027566
100	98.758215	0.025675
101	98.783094	0.024879
102	98.806699	0.023605
103	98.829647	0.022948
104	98.853033	0.023386
105	98.874986	0.021953
106	98.896362	0.021376
107	98.917838	0.021476
108	98.938219	0.020381
109	98.957326	0.019107
110	98.976971	0.019645
111	98.996118	0.019147
112	99.014489	0.018371
