# [1]Indel length	[2]Count
-60	2598
-59	43
-58	88
-57	51
-56	112
-55	52
-54	128
-53	71
-52	130
-51	82
-50	159
-49	154
-48	186
-47	114
-46	136
-45	140
-44	210
-43	126
-42	219
-41	159
-40	417
-39	186
-38	297
-37	224
-36	453
-35	275
-34	421
-33	285
-32	648
-31	330
-30	774
-29	386
-28	944
-27	511
-26	902
-25	722
-24	1533
-23	643
-22	1241
-21	823
-20	2553
-19	980
-18	2287
-17	1231
-16	3786
-15	2387
-14	3636
-13	2098
-12	7651
-11	2808
-10	7862
-9	4345
-8	13500
-7	5662
-6	16242
-5	15333
-4	50666
-3	35075
-2	92363
-1	230662
1	234341
2	91473
3	33270
4	48410
5	14317
6	15843
7	5237
8	13568
9	4142
10	7501
11	2572
12	7354
13	1997
14	3403
15	2229
16	3740
17	1119
18	2157
19	898
20	2467
21	815
22	1201
23	605
24	1508
25	681
26	849
27	465
28	891
29	346
30	727
31	290
32	614
33	265
34	367
35	264
36	445
37	193
38	269
39	169
40	324
41	131
42	219
43	127
44	169
45	135
46	144
47	112
48	185
49	104
50	141
51	102
52	127
53	88
54	115
55	76
56	114
57	67
58	84
59	73
60	2770
