# [1]Indel length	[2]Mean VAF
-60	0.57
-59	0.63
-58	0.60
-57	0.65
-56	0.61
-55	0.57
-54	0.65
-53	0.62
-52	0.64
-51	0.56
-50	0.61
-49	0.53
-48	0.58
-47	0.57
-46	0.60
-45	0.62
-44	0.63
-43	0.62
-42	0.65
-41	0.60
-40	0.60
-39	0.61
-38	0.61
-37	0.62
-36	0.63
-35	0.61
-34	0.63
-33	0.63
-32	0.65
-31	0.64
-30	0.64
-29	0.63
-28	0.63
-27	0.62
-26	0.65
-25	0.63
-24	0.64
-23	0.62
-22	0.64
-21	0.64
-20	0.62
-19	0.65
-18	0.64
-17	0.66
-16	0.63
-15	0.62
-14	0.65
-13	0.67
-12	0.63
-11	0.66
-10	0.62
-9	0.65
-8	0.62
-7	0.66
-6	0.63
-5	0.63
-4	0.63
-3	0.64
-2	0.64
-1	0.68
1	0.67
2	0.63
3	0.64
4	0.64
5	0.63
6	0.60
7	0.61
8	0.59
9	0.61
10	0.57
11	0.61
12	0.58
13	0.61
14	0.58
15	0.59
16	0.58
17	0.62
18	0.57
19	0.64
20	0.57
21	0.63
22	0.58
23	0.64
24	0.60
25	0.59
26	0.59
27	0.63
28	0.59
29	0.64
30	0.58
31	0.63
32	0.60
33	0.64
34	0.60
35	0.60
36	0.58
37	0.63
38	0.62
39	0.63
40	0.64
41	0.67
42	0.64
43	0.64
44	0.60
45	0.56
46	0.62
47	0.64
48	0.63
49	0.67
50	0.66
51	0.67
52	0.64
53	0.66
54	0.66
55	0.67
56	0.67
57	0.66
58	0.67
59	0.72
60	0.65
