# [1]Indel length	[2]Mean VAF
-60	0.56
-59	0.58
-58	0.56
-57	0.58
-56	0.60
-55	0.59
-54	0.59
-53	0.63
-52	0.58
-51	0.55
-50	0.59
-49	0.54
-48	0.59
-47	0.61
-46	0.58
-45	0.68
-44	0.62
-43	0.63
-42	0.64
-41	0.62
-40	0.63
-39	0.63
-38	0.60
-37	0.59
-36	0.63
-35	0.58
-34	0.62
-33	0.64
-32	0.63
-31	0.63
-30	0.63
-29	0.63
-28	0.63
-27	0.63
-26	0.66
-25	0.61
-24	0.64
-23	0.62
-22	0.65
-21	0.63
-20	0.63
-19	0.66
-18	0.65
-17	0.65
-16	0.62
-15	0.63
-14	0.64
-13	0.67
-12	0.63
-11	0.66
-10	0.62
-9	0.64
-8	0.62
-7	0.65
-6	0.63
-5	0.63
-4	0.63
-3	0.64
-2	0.64
-1	0.68
1	0.67
2	0.63
3	0.64
4	0.63
5	0.62
6	0.59
7	0.60
8	0.58
9	0.60
10	0.57
11	0.60
12	0.57
13	0.60
14	0.56
15	0.58
16	0.56
17	0.61
18	0.55
19	0.61
20	0.56
21	0.62
22	0.57
23	0.62
24	0.58
25	0.60
26	0.57
27	0.62
28	0.57
29	0.62
30	0.59
31	0.63
32	0.59
33	0.62
34	0.60
35	0.62
36	0.61
37	0.65
38	0.62
39	0.59
40	0.59
41	0.67
42	0.63
43	0.61
44	0.60
45	0.62
46	0.64
47	0.61
48	0.66
49	0.68
50	0.58
51	0.64
52	0.65
53	0.67
54	0.62
55	0.64
56	0.64
57	0.65
58	0.66
59	0.63
60	0.64
