# [1]Indel length	[2]Count
-60	2455
-59	47
-58	75
-57	59
-56	111
-55	67
-54	114
-53	65
-52	128
-51	92
-50	164
-49	155
-48	211
-47	117
-46	167
-45	125
-44	188
-43	121
-42	222
-41	128
-40	374
-39	162
-38	315
-37	214
-36	450
-35	237
-34	404
-33	259
-32	636
-31	311
-30	762
-29	404
-28	920
-27	514
-26	908
-25	659
-24	1514
-23	640
-22	1273
-21	760
-20	2413
-19	923
-18	2260
-17	1150
-16	3701
-15	2297
-14	3535
-13	2055
-12	7576
-11	2684
-10	7704
-9	4291
-8	13457
-7	5358
-6	15923
-5	14996
-4	50289
-3	34741
-2	90847
-1	227900
1	231255
2	89472
3	32392
4	47695
5	13770
6	15551
7	5110
8	13360
9	4019
10	7157
11	2500
12	7273
13	1774
14	3249
15	2170
16	3560
17	1049
18	1984
19	820
20	2369
21	764
22	1111
23	571
24	1464
25	568
26	795
27	435
28	847
29	297
30	682
31	307
32	526
33	262
34	392
35	277
36	406
37	192
38	237
39	163
40	309
41	125
42	198
43	124
44	155
45	130
46	142
47	109
48	176
49	114
50	113
51	70
52	107
53	81
54	117
55	78
56	97
57	62
58	75
59	67
60	2508
