# [1]Indel length	[2]Mean VAF
-60	0.57
-59	0.58
-58	0.58
-57	0.60
-56	0.62
-55	0.62
-54	0.58
-53	0.63
-52	0.59
-51	0.58
-50	0.60
-49	0.58
-48	0.59
-47	0.62
-46	0.63
-45	0.58
-44	0.60
-43	0.58
-42	0.62
-41	0.60
-40	0.59
-39	0.63
-38	0.64
-37	0.63
-36	0.64
-35	0.58
-34	0.63
-33	0.64
-32	0.64
-31	0.64
-30	0.63
-29	0.65
-28	0.64
-27	0.62
-26	0.64
-25	0.62
-24	0.63
-23	0.62
-22	0.64
-21	0.64
-20	0.62
-19	0.68
-18	0.65
-17	0.66
-16	0.63
-15	0.64
-14	0.64
-13	0.66
-12	0.63
-11	0.66
-10	0.63
-9	0.64
-8	0.62
-7	0.65
-6	0.63
-5	0.63
-4	0.63
-3	0.63
-2	0.64
-1	0.68
1	0.67
2	0.63
3	0.64
4	0.63
5	0.63
6	0.59
7	0.60
8	0.58
9	0.60
10	0.57
11	0.60
12	0.57
13	0.61
14	0.57
15	0.58
16	0.57
17	0.61
18	0.56
19	0.61
20	0.57
21	0.61
22	0.58
23	0.62
24	0.59
25	0.59
26	0.59
27	0.64
28	0.59
29	0.66
30	0.61
31	0.65
32	0.58
33	0.61
34	0.60
35	0.58
36	0.60
37	0.66
38	0.64
39	0.63
40	0.59
41	0.68
42	0.61
43	0.62
44	0.61
45	0.62
46	0.56
47	0.66
48	0.62
49	0.66
50	0.60
51	0.68
52	0.64
53	0.68
54	0.64
55	0.60
56	0.59
57	0.64
58	0.62
59	0.63
60	0.65
