# [1]Indel length	[2]Count
-60	2568
-59	47
-58	83
-57	65
-56	114
-55	50
-54	116
-53	69
-52	130
-51	85
-50	159
-49	177
-48	198
-47	112
-46	154
-45	126
-44	221
-43	116
-42	240
-41	125
-40	400
-39	183
-38	310
-37	218
-36	439
-35	265
-34	405
-33	256
-32	684
-31	322
-30	801
-29	421
-28	910
-27	513
-26	941
-25	705
-24	1567
-23	645
-22	1302
-21	839
-20	2590
-19	1014
-18	2340
-17	1287
-16	3817
-15	2434
-14	3785
-13	2150
-12	7838
-11	2815
-10	7953
-9	4422
-8	13693
-7	5676
-6	16488
-5	15319
-4	51361
-3	35550
-2	93602
-1	233495
1	237102
2	92746
3	33722
4	49070
5	14265
6	16192
7	5228
8	13596
9	4119
10	7579
11	2631
12	7585
13	1893
14	3412
15	2247
16	3780
17	1125
18	2153
19	889
20	2556
21	837
22	1171
23	632
24	1522
25	649
26	943
27	510
28	914
29	332
30	740
31	337
32	622
33	249
34	412
35	273
36	439
37	220
38	270
39	169
40	364
41	126
42	215
43	123
44	181
45	133
46	145
47	101
48	192
49	138
50	151
51	95
52	142
53	91
54	143
55	78
56	96
57	66
58	78
59	64
60	2866
