# [1]Indel length	[2]Mean VAF
-60	0.58
-59	0.59
-58	0.58
-57	0.55
-56	0.59
-55	0.63
-54	0.61
-53	0.60
-52	0.58
-51	0.57
-50	0.60
-49	0.58
-48	0.61
-47	0.63
-46	0.64
-45	0.59
-44	0.66
-43	0.59
-42	0.62
-41	0.60
-40	0.60
-39	0.62
-38	0.63
-37	0.63
-36	0.64
-35	0.59
-34	0.66
-33	0.60
-32	0.67
-31	0.66
-30	0.65
-29	0.66
-28	0.64
-27	0.63
-26	0.65
-25	0.64
-24	0.64
-23	0.64
-22	0.65
-21	0.63
-20	0.64
-19	0.66
-18	0.65
-17	0.66
-16	0.64
-15	0.64
-14	0.66
-13	0.67
-12	0.64
-11	0.66
-10	0.63
-9	0.66
-8	0.63
-7	0.66
-6	0.64
-5	0.64
-4	0.64
-3	0.65
-2	0.65
-1	0.69
1	0.68
2	0.64
3	0.65
4	0.64
5	0.63
6	0.60
7	0.60
8	0.59
9	0.60
10	0.58
11	0.60
12	0.58
13	0.59
14	0.57
15	0.59
16	0.57
17	0.62
18	0.57
19	0.64
20	0.56
21	0.63
22	0.58
23	0.62
24	0.59
25	0.60
26	0.58
27	0.63
28	0.59
29	0.61
30	0.57
31	0.63
32	0.57
33	0.64
34	0.60
35	0.58
36	0.60
37	0.64
38	0.61
39	0.62
40	0.61
41	0.67
42	0.58
43	0.64
44	0.60
45	0.60
46	0.59
47	0.64
48	0.61
49	0.63
50	0.62
51	0.67
52	0.64
53	0.61
54	0.64
55	0.66
56	0.61
57	0.65
58	0.69
59	0.68
60	0.64
