# [1]Indel length	[2]Count
-60	2591
-59	42
-58	83
-57	65
-56	111
-55	60
-54	123
-53	67
-52	123
-51	78
-50	170
-49	152
-48	223
-47	113
-46	152
-45	139
-44	175
-43	129
-42	236
-41	129
-40	369
-39	165
-38	302
-37	204
-36	436
-35	250
-34	392
-33	253
-32	642
-31	329
-30	779
-29	361
-28	984
-27	495
-26	890
-25	656
-24	1545
-23	653
-22	1321
-21	798
-20	2496
-19	972
-18	2214
-17	1226
-16	3832
-15	2397
-14	3636
-13	2132
-12	7725
-11	2828
-10	7571
-9	4289
-8	13559
-7	5582
-6	16334
-5	15113
-4	50897
-3	35082
-2	92882
-1	231220
1	234848
2	91333
3	33266
4	48529
5	14146
6	15821
7	5261
8	13230
9	4112
10	7342
11	2609
12	7359
13	1827
14	3424
15	2092
16	3694
17	1037
18	2123
19	895
20	2411
21	800
22	1161
23	601
24	1515
25	660
26	803
27	474
28	914
29	325
30	737
31	279
32	547
33	263
34	363
35	247
36	404
37	182
38	269
39	155
40	341
41	143
42	201
43	113
44	155
45	128
46	137
47	99
48	173
49	102
50	122
51	93
52	122
53	78
54	100
55	65
56	92
57	74
58	73
59	60
60	2423
