# [1]Indel length	[2]Count
-60	2192
-59	34
-58	68
-57	43
-56	91
-55	51
-54	102
-53	54
-52	99
-51	65
-50	152
-49	110
-48	167
-47	85
-46	145
-45	111
-44	195
-43	104
-42	198
-41	139
-40	322
-39	156
-38	264
-37	194
-36	403
-35	224
-34	363
-33	231
-32	616
-31	286
-30	686
-29	343
-28	858
-27	425
-26	838
-25	640
-24	1398
-23	578
-22	1178
-21	758
-20	2235
-19	899
-18	2077
-17	1115
-16	3514
-15	2187
-14	3361
-13	1958
-12	7268
-11	2582
-10	7283
-9	4033
-8	12746
-7	5090
-6	15340
-5	14360
-4	48508
-3	33394
-2	87643
-1	221145
1	222471
2	85280
3	30517
4	45452
5	12954
6	14426
7	4657
8	12074
9	3571
10	6499
11	2194
12	6569
13	1628
14	2868
15	1953
16	3180
17	952
18	1710
19	713
20	2068
21	682
22	914
23	478
24	1257
25	511
26	624
27	388
28	704
29	290
30	557
31	256
32	441
33	197
34	294
35	199
36	303
37	146
38	212
39	125
40	247
41	100
42	164
43	91
44	119
45	103
46	118
47	92
48	125
49	89
50	107
51	66
52	97
53	60
54	78
55	53
56	64
57	39
58	57
59	47
60	1771
