# [1]Indel length	[2]Mean VAF
-60	0.57
-59	0.56
-58	0.56
-57	0.54
-56	0.54
-55	0.58
-54	0.58
-53	0.60
-52	0.60
-51	0.62
-50	0.59
-49	0.58
-48	0.61
-47	0.63
-46	0.61
-45	0.61
-44	0.62
-43	0.64
-42	0.63
-41	0.62
-40	0.61
-39	0.60
-38	0.64
-37	0.60
-36	0.63
-35	0.58
-34	0.65
-33	0.59
-32	0.65
-31	0.64
-30	0.64
-29	0.64
-28	0.63
-27	0.61
-26	0.63
-25	0.64
-24	0.64
-23	0.61
-22	0.65
-21	0.64
-20	0.62
-19	0.65
-18	0.64
-17	0.66
-16	0.62
-15	0.63
-14	0.64
-13	0.66
-12	0.63
-11	0.66
-10	0.62
-9	0.64
-8	0.62
-7	0.65
-6	0.62
-5	0.63
-4	0.63
-3	0.63
-2	0.64
-1	0.68
1	0.67
2	0.62
3	0.64
4	0.63
5	0.63
6	0.59
7	0.60
8	0.58
9	0.61
10	0.57
11	0.61
12	0.57
13	0.60
14	0.56
15	0.58
16	0.57
17	0.62
18	0.57
19	0.62
20	0.56
21	0.60
22	0.55
23	0.60
24	0.58
25	0.61
26	0.57
27	0.61
28	0.57
29	0.64
30	0.60
31	0.64
32	0.59
33	0.65
34	0.60
35	0.59
36	0.60
37	0.65
38	0.63
39	0.63
40	0.61
41	0.63
42	0.61
43	0.63
44	0.59
45	0.61
46	0.60
47	0.61
48	0.61
49	0.64
50	0.60
51	0.61
52	0.59
53	0.58
54	0.61
55	0.61
56	0.63
57	0.65
58	0.64
59	0.67
60	0.64
