# [1]Indel length	[2]Count
-60	2404
-59	34
-58	75
-57	51
-56	113
-55	68
-54	109
-53	71
-52	116
-51	75
-50	171
-49	150
-48	218
-47	104
-46	147
-45	123
-44	214
-43	110
-42	240
-41	136
-40	365
-39	187
-38	315
-37	194
-36	456
-35	250
-34	410
-33	286
-32	650
-31	311
-30	733
-29	378
-28	942
-27	483
-26	936
-25	715
-24	1514
-23	634
-22	1287
-21	836
-20	2433
-19	1006
-18	2272
-17	1241
-16	3810
-15	2372
-14	3598
-13	2119
-12	7771
-11	2698
-10	7824
-9	4279
-8	13489
-7	5561
-6	16406
-5	15087
-4	50953
-3	35033
-2	92471
-1	230334
1	234212
2	90935
3	32995
4	48432
5	13971
6	15752
7	5080
8	13334
9	4032
10	7437
11	2520
12	7354
13	1825
14	3383
15	2249
16	3647
17	1052
18	2089
19	837
20	2439
21	778
22	1180
23	584
24	1508
25	646
26	856
27	437
28	918
29	326
30	728
31	318
32	556
33	254
34	381
35	271
36	393
37	192
38	280
39	166
40	345
41	139
42	209
43	118
44	171
45	123
46	153
47	100
48	191
49	128
50	147
51	94
52	137
53	91
54	122
55	77
56	101
57	60
58	82
59	68
60	2742
