# [1]Indel length	[2]Mean VAF
-60	0.57
-59	0.55
-58	0.62
-57	0.64
-56	0.63
-55	0.61
-54	0.61
-53	0.55
-52	0.62
-51	0.56
-50	0.55
-49	0.55
-48	0.59
-47	0.58
-46	0.64
-45	0.58
-44	0.62
-43	0.60
-42	0.61
-41	0.60
-40	0.60
-39	0.59
-38	0.62
-37	0.64
-36	0.63
-35	0.60
-34	0.65
-33	0.62
-32	0.65
-31	0.65
-30	0.64
-29	0.61
-28	0.62
-27	0.63
-26	0.64
-25	0.61
-24	0.64
-23	0.62
-22	0.64
-21	0.64
-20	0.62
-19	0.65
-18	0.63
-17	0.64
-16	0.62
-15	0.63
-14	0.64
-13	0.65
-12	0.62
-11	0.65
-10	0.61
-9	0.64
-8	0.62
-7	0.64
-6	0.62
-5	0.62
-4	0.62
-3	0.63
-2	0.63
-1	0.67
1	0.67
2	0.62
3	0.63
4	0.63
5	0.62
6	0.58
7	0.58
8	0.57
9	0.58
10	0.57
11	0.58
12	0.56
13	0.58
14	0.55
15	0.57
16	0.55
17	0.59
18	0.55
19	0.58
20	0.55
21	0.60
22	0.55
23	0.59
24	0.56
25	0.61
26	0.57
27	0.62
28	0.56
29	0.60
30	0.56
31	0.60
32	0.58
33	0.61
34	0.56
35	0.57
36	0.60
37	0.65
38	0.60
39	0.59
40	0.59
41	0.65
42	0.63
43	0.61
44	0.58
45	0.63
46	0.59
47	0.62
48	0.62
49	0.63
50	0.62
51	0.65
52	0.64
53	0.64
54	0.64
55	0.61
56	0.58
57	0.61
58	0.63
59	0.64
60	0.62
