# [1]Indel length	[2]Mean VAF
-60	0.57
-59	0.56
-58	0.60
-57	0.58
-56	0.62
-55	0.62
-54	0.58
-53	0.54
-52	0.60
-51	0.59
-50	0.64
-49	0.54
-48	0.58
-47	0.57
-46	0.62
-45	0.62
-44	0.62
-43	0.59
-42	0.62
-41	0.59
-40	0.61
-39	0.59
-38	0.63
-37	0.61
-36	0.64
-35	0.61
-34	0.62
-33	0.62
-32	0.65
-31	0.63
-30	0.63
-29	0.63
-28	0.64
-27	0.62
-26	0.64
-25	0.62
-24	0.64
-23	0.62
-22	0.64
-21	0.63
-20	0.62
-19	0.65
-18	0.64
-17	0.67
-16	0.63
-15	0.63
-14	0.63
-13	0.66
-12	0.62
-11	0.66
-10	0.62
-9	0.64
-8	0.61
-7	0.65
-6	0.62
-5	0.63
-4	0.63
-3	0.63
-2	0.64
-1	0.68
1	0.67
2	0.63
3	0.64
4	0.63
5	0.62
6	0.59
7	0.60
8	0.58
9	0.60
10	0.57
11	0.61
12	0.57
13	0.59
14	0.56
15	0.58
16	0.57
17	0.61
18	0.56
19	0.61
20	0.58
21	0.61
22	0.58
23	0.62
24	0.57
25	0.60
26	0.57
27	0.62
28	0.60
29	0.62
30	0.56
31	0.65
32	0.60
33	0.61
34	0.60
35	0.62
36	0.61
37	0.60
38	0.62
39	0.61
40	0.60
41	0.67
42	0.61
43	0.61
44	0.63
45	0.58
46	0.59
47	0.63
48	0.61
49	0.63
50	0.58
51	0.67
52	0.64
53	0.65
54	0.64
55	0.63
56	0.62
57	0.64
58	0.68
59	0.65
60	0.64
