# [1]Indel length	[2]Mean VAF
-60	0.57
-59	0.59
-58	0.51
-57	0.58
-56	0.59
-55	0.60
-54	0.60
-53	0.69
-52	0.64
-51	0.60
-50	0.59
-49	0.57
-48	0.59
-47	0.60
-46	0.66
-45	0.61
-44	0.64
-43	0.62
-42	0.64
-41	0.61
-40	0.60
-39	0.64
-38	0.63
-37	0.58
-36	0.64
-35	0.58
-34	0.64
-33	0.62
-32	0.67
-31	0.65
-30	0.64
-29	0.64
-28	0.64
-27	0.63
-26	0.65
-25	0.65
-24	0.63
-23	0.62
-22	0.64
-21	0.63
-20	0.62
-19	0.65
-18	0.65
-17	0.65
-16	0.64
-15	0.63
-14	0.64
-13	0.66
-12	0.63
-11	0.66
-10	0.62
-9	0.65
-8	0.62
-7	0.65
-6	0.62
-5	0.63
-4	0.63
-3	0.63
-2	0.64
-1	0.68
1	0.67
2	0.63
3	0.64
4	0.63
5	0.63
6	0.59
7	0.60
8	0.57
9	0.60
10	0.56
11	0.60
12	0.57
13	0.60
14	0.57
15	0.58
16	0.56
17	0.60
18	0.56
19	0.60
20	0.56
21	0.60
22	0.57
23	0.62
24	0.57
25	0.60
26	0.57
27	0.59
28	0.56
29	0.60
30	0.57
31	0.62
32	0.59
33	0.62
34	0.56
35	0.58
36	0.59
37	0.64
38	0.62
39	0.63
40	0.59
41	0.66
42	0.59
43	0.60
44	0.61
45	0.57
46	0.60
47	0.61
48	0.59
49	0.65
50	0.62
51	0.65
52	0.65
53	0.63
54	0.64
55	0.62
56	0.65
57	0.64
58	0.60
59	0.64
60	0.65
