# [1]Indel length	[2]Count
-60	2506
-59	56
-58	92
-57	60
-56	117
-55	62
-54	117
-53	61
-52	122
-51	87
-50	162
-49	149
-48	219
-47	133
-46	153
-45	126
-44	215
-43	121
-42	214
-41	145
-40	411
-39	189
-38	304
-37	229
-36	482
-35	260
-34	404
-33	270
-32	659
-31	315
-30	782
-29	378
-28	937
-27	496
-26	912
-25	703
-24	1508
-23	674
-22	1313
-21	792
-20	2500
-19	1022
-18	2359
-17	1243
-16	3881
-15	2462
-14	3651
-13	2164
-12	7781
-11	2845
-10	7919
-9	4436
-8	13467
-7	5617
-6	16349
-5	15357
-4	51050
-3	35328
-2	92779
-1	231699
1	235322
2	92507
3	33538
4	48673
5	14460
6	16061
7	5313
8	13674
9	4181
10	7495
11	2732
12	7540
13	1914
14	3442
15	2253
16	3805
17	1087
18	2161
19	855
20	2518
21	838
22	1249
23	623
24	1570
25	694
26	875
27	492
28	904
29	311
30	733
31	316
32	598
33	263
34	399
35	280
36	422
37	204
38	277
39	171
40	344
41	150
42	216
43	119
44	172
45	133
46	147
47	103
48	189
49	129
50	155
51	96
52	144
53	80
54	131
55	81
56	110
57	59
58	95
59	54
60	2946
