# [1]Indel length	[2]Mean VAF
-60	0.58
-59	0.49
-58	0.56
-57	0.57
-56	0.64
-55	0.62
-54	0.62
-53	0.60
-52	0.63
-51	0.58
-50	0.61
-49	0.56
-48	0.63
-47	0.61
-46	0.65
-45	0.57
-44	0.63
-43	0.61
-42	0.66
-41	0.62
-40	0.61
-39	0.60
-38	0.64
-37	0.62
-36	0.65
-35	0.61
-34	0.67
-33	0.64
-32	0.65
-31	0.66
-30	0.65
-29	0.64
-28	0.65
-27	0.62
-26	0.66
-25	0.65
-24	0.66
-23	0.62
-22	0.66
-21	0.64
-20	0.63
-19	0.65
-18	0.66
-17	0.66
-16	0.65
-15	0.64
-14	0.65
-13	0.67
-12	0.65
-11	0.66
-10	0.64
-9	0.66
-8	0.64
-7	0.66
-6	0.64
-5	0.64
-4	0.64
-3	0.64
-2	0.65
-1	0.68
1	0.67
2	0.64
3	0.64
4	0.64
5	0.63
6	0.60
7	0.61
8	0.59
9	0.61
10	0.59
11	0.62
12	0.59
13	0.62
14	0.58
15	0.60
16	0.59
17	0.63
18	0.58
19	0.65
20	0.59
21	0.63
22	0.60
23	0.64
24	0.61
25	0.61
26	0.60
27	0.65
28	0.61
29	0.66
30	0.61
31	0.66
32	0.62
33	0.65
34	0.61
35	0.63
36	0.61
37	0.67
38	0.69
39	0.64
40	0.61
41	0.63
42	0.63
43	0.65
44	0.63
45	0.64
46	0.65
47	0.60
48	0.65
49	0.65
50	0.62
51	0.66
52	0.66
53	0.64
54	0.63
55	0.67
56	0.66
57	0.67
58	0.65
59	0.67
60	0.66
