# [1]Indel length	[2]Count
-60	2540
-59	51
-58	77
-57	60
-56	109
-55	69
-54	133
-53	60
-52	126
-51	80
-50	153
-49	174
-48	197
-47	124
-46	161
-45	143
-44	205
-43	123
-42	231
-41	156
-40	405
-39	201
-38	313
-37	224
-36	469
-35	284
-34	435
-33	279
-32	687
-31	316
-30	781
-29	411
-28	953
-27	526
-26	938
-25	745
-24	1579
-23	655
-22	1304
-21	874
-20	2660
-19	1020
-18	2420
-17	1289
-16	3943
-15	2466
-14	3824
-13	2210
-12	7868
-11	2961
-10	7974
-9	4519
-8	14055
-7	5802
-6	16700
-5	15631
-4	52389
-3	36487
-2	95980
-1	238744
1	242010
2	95148
3	34580
4	49977
5	14705
6	16415
7	5417
8	13968
9	4226
10	7641
11	2683
12	7621
13	1912
14	3436
15	2269
16	3851
17	1158
18	2232
19	941
20	2569
21	821
22	1193
23	637
24	1541
25	681
26	840
27	465
28	925
29	355
30	722
31	319
32	588
33	263
34	379
35	277
36	444
37	215
38	246
39	182
40	348
41	126
42	222
43	123
44	183
45	129
46	148
47	118
48	203
49	134
50	162
51	89
52	135
53	86
54	130
55	81
56	97
57	79
58	78
59	75
60	2845
