# [1]Indel length	[2]Count
-60	2488
-59	57
-58	89
-57	63
-56	113
-55	59
-54	125
-53	70
-52	119
-51	84
-50	164
-49	150
-48	199
-47	101
-46	161
-45	126
-44	215
-43	120
-42	236
-41	139
-40	400
-39	187
-38	318
-37	216
-36	462
-35	247
-34	415
-33	266
-32	658
-31	341
-30	727
-29	409
-28	931
-27	489
-26	918
-25	714
-24	1512
-23	634
-22	1277
-21	785
-20	2546
-19	1006
-18	2235
-17	1247
-16	3849
-15	2383
-14	3661
-13	2061
-12	7656
-11	2738
-10	7753
-9	4360
-8	13607
-7	5541
-6	16257
-5	15054
-4	50571
-3	34898
-2	92398
-1	229959
1	233001
2	91421
3	33102
4	48319
5	14101
6	15952
7	5122
8	13493
9	4148
10	7416
11	2583
12	7350
13	1924
14	3396
15	2240
16	3745
17	1105
18	2153
19	903
20	2492
21	813
22	1178
23	606
24	1468
25	625
26	836
27	485
28	873
29	340
30	766
31	309
32	608
33	245
34	415
35	271
36	415
37	183
38	248
39	179
40	347
41	115
42	198
43	135
44	189
45	134
46	133
47	111
48	164
49	126
50	143
51	75
52	133
53	87
54	119
55	76
56	109
57	65
58	80
59	52
60	2729
