# [1]Indel length	[2]Count
-60	2500
-59	43
-58	85
-57	51
-56	112
-55	59
-54	114
-53	59
-52	121
-51	74
-50	157
-49	144
-48	218
-47	109
-46	165
-45	128
-44	206
-43	123
-42	217
-41	132
-40	408
-39	194
-38	285
-37	200
-36	439
-35	247
-34	413
-33	280
-32	663
-31	336
-30	778
-29	384
-28	931
-27	490
-26	928
-25	699
-24	1541
-23	686
-22	1306
-21	770
-20	2545
-19	999
-18	2279
-17	1198
-16	3966
-15	2397
-14	3604
-13	2226
-12	7745
-11	2850
-10	7905
-9	4399
-8	13599
-7	5605
-6	16526
-5	15215
-4	51280
-3	35361
-2	93293
-1	232411
1	235455
2	92492
3	33715
4	48771
5	14445
6	16239
7	5266
8	13859
9	4214
10	7562
11	2632
12	7585
13	1868
14	3431
15	2311
16	3813
17	1093
18	2170
19	886
20	2567
21	805
22	1285
23	625
24	1534
25	659
26	829
27	492
28	901
29	340
30	728
31	327
32	620
33	264
34	386
35	306
36	427
37	210
38	272
39	178
40	379
41	136
42	221
43	128
44	179
45	123
46	158
47	127
48	190
49	129
50	143
51	93
52	145
53	89
54	115
55	62
56	106
57	72
58	95
59	58
60	2914
