# [1]Indel length	[2]Mean VAF
-60	0.57
-59	0.56
-58	0.59
-57	0.50
-56	0.64
-55	0.60
-54	0.65
-53	0.67
-52	0.54
-51	0.54
-50	0.57
-49	0.53
-48	0.58
-47	0.61
-46	0.61
-45	0.62
-44	0.61
-43	0.62
-42	0.67
-41	0.64
-40	0.62
-39	0.60
-38	0.64
-37	0.62
-36	0.63
-35	0.62
-34	0.66
-33	0.62
-32	0.66
-31	0.64
-30	0.63
-29	0.66
-28	0.63
-27	0.62
-26	0.64
-25	0.64
-24	0.64
-23	0.62
-22	0.65
-21	0.65
-20	0.62
-19	0.65
-18	0.66
-17	0.67
-16	0.63
-15	0.64
-14	0.65
-13	0.66
-12	0.63
-11	0.67
-10	0.63
-9	0.65
-8	0.63
-7	0.66
-6	0.63
-5	0.64
-4	0.64
-3	0.64
-2	0.65
-1	0.68
1	0.68
2	0.64
3	0.65
4	0.64
5	0.64
6	0.60
7	0.62
8	0.59
9	0.61
10	0.59
11	0.61
12	0.59
13	0.62
14	0.59
15	0.59
16	0.59
17	0.63
18	0.58
19	0.63
20	0.58
21	0.63
22	0.56
23	0.62
24	0.59
25	0.62
26	0.58
27	0.63
28	0.60
29	0.62
30	0.59
31	0.63
32	0.59
33	0.60
34	0.59
35	0.59
36	0.62
37	0.62
38	0.62
39	0.62
40	0.60
41	0.65
42	0.64
43	0.59
44	0.62
45	0.61
46	0.61
47	0.59
48	0.61
49	0.64
50	0.63
51	0.65
52	0.62
53	0.66
54	0.61
55	0.61
56	0.62
57	0.66
58	0.63
59	0.68
60	0.65
