# [1]Indel length	[2]Mean VAF
-60	0.58
-59	0.52
-58	0.59
-57	0.64
-56	0.62
-55	0.53
-54	0.66
-53	0.59
-52	0.59
-51	0.58
-50	0.61
-49	0.57
-48	0.61
-47	0.57
-46	0.61
-45	0.59
-44	0.61
-43	0.61
-42	0.63
-41	0.61
-40	0.60
-39	0.61
-38	0.65
-37	0.63
-36	0.62
-35	0.58
-34	0.65
-33	0.62
-32	0.64
-31	0.63
-30	0.63
-29	0.64
-28	0.64
-27	0.61
-26	0.66
-25	0.64
-24	0.64
-23	0.63
-22	0.65
-21	0.63
-20	0.62
-19	0.66
-18	0.64
-17	0.65
-16	0.63
-15	0.63
-14	0.64
-13	0.66
-12	0.63
-11	0.66
-10	0.62
-9	0.65
-8	0.62
-7	0.66
-6	0.63
-5	0.63
-4	0.63
-3	0.63
-2	0.64
-1	0.68
1	0.67
2	0.63
3	0.64
4	0.63
5	0.62
6	0.59
7	0.60
8	0.57
9	0.60
10	0.57
11	0.60
12	0.57
13	0.60
14	0.57
15	0.57
16	0.57
17	0.61
18	0.56
19	0.62
20	0.56
21	0.62
22	0.57
23	0.60
24	0.59
25	0.60
26	0.57
27	0.62
28	0.56
29	0.62
30	0.57
31	0.64
32	0.57
33	0.60
34	0.61
35	0.63
36	0.60
37	0.64
38	0.58
39	0.60
40	0.62
41	0.68
42	0.60
43	0.59
44	0.62
45	0.59
46	0.61
47	0.69
48	0.60
49	0.69
50	0.60
51	0.62
52	0.68
53	0.60
54	0.64
55	0.63
56	0.60
57	0.65
58	0.65
59	0.69
60	0.64
