# [1]Indel length	[2]Mean VAF
-60	0.58
-59	0.55
-58	0.61
-57	0.62
-56	0.64
-55	0.62
-54	0.63
-53	0.60
-52	0.64
-51	0.57
-50	0.62
-49	0.56
-48	0.58
-47	0.56
-46	0.67
-45	0.62
-44	0.66
-43	0.62
-42	0.63
-41	0.62
-40	0.59
-39	0.65
-38	0.66
-37	0.61
-36	0.66
-35	0.64
-34	0.63
-33	0.63
-32	0.66
-31	0.65
-30	0.66
-29	0.65
-28	0.65
-27	0.64
-26	0.64
-25	0.65
-24	0.65
-23	0.64
-22	0.66
-21	0.64
-20	0.64
-19	0.66
-18	0.65
-17	0.65
-16	0.64
-15	0.64
-14	0.64
-13	0.66
-12	0.64
-11	0.67
-10	0.63
-9	0.66
-8	0.63
-7	0.66
-6	0.64
-5	0.64
-4	0.64
-3	0.64
-2	0.65
-1	0.69
1	0.68
2	0.64
3	0.65
4	0.64
5	0.64
6	0.60
7	0.62
8	0.59
9	0.61
10	0.59
11	0.61
12	0.60
13	0.62
14	0.59
15	0.60
16	0.58
17	0.64
18	0.58
19	0.64
20	0.58
21	0.63
22	0.59
23	0.63
24	0.60
25	0.60
26	0.60
27	0.64
28	0.59
29	0.64
30	0.60
31	0.66
32	0.61
33	0.62
34	0.62
35	0.63
36	0.64
37	0.68
38	0.64
39	0.62
40	0.63
41	0.66
42	0.61
43	0.64
44	0.65
45	0.63
46	0.63
47	0.64
48	0.66
49	0.64
50	0.65
51	0.70
52	0.63
53	0.66
54	0.64
55	0.70
56	0.65
57	0.66
58	0.61
59	0.69
60	0.66
