# [1]Indel length	[2]Mean VAF
-60	0.56
-59	0.56
-58	0.56
-57	0.62
-56	0.60
-55	0.55
-54	0.61
-53	0.59
-52	0.60
-51	0.53
-50	0.62
-49	0.53
-48	0.61
-47	0.56
-46	0.59
-45	0.59
-44	0.60
-43	0.62
-42	0.62
-41	0.59
-40	0.61
-39	0.62
-38	0.64
-37	0.62
-36	0.63
-35	0.59
-34	0.65
-33	0.61
-32	0.63
-31	0.66
-30	0.64
-29	0.64
-28	0.64
-27	0.61
-26	0.63
-25	0.62
-24	0.63
-23	0.61
-22	0.66
-21	0.63
-20	0.62
-19	0.64
-18	0.64
-17	0.65
-16	0.63
-15	0.63
-14	0.64
-13	0.67
-12	0.63
-11	0.67
-10	0.62
-9	0.64
-8	0.62
-7	0.66
-6	0.63
-5	0.63
-4	0.63
-3	0.64
-2	0.64
-1	0.68
1	0.67
2	0.63
3	0.64
4	0.64
5	0.62
6	0.59
7	0.60
8	0.58
9	0.60
10	0.57
11	0.60
12	0.57
13	0.59
14	0.56
15	0.58
16	0.57
17	0.61
18	0.56
19	0.60
20	0.56
21	0.63
22	0.55
23	0.61
24	0.57
25	0.58
26	0.56
27	0.61
28	0.58
29	0.63
30	0.58
31	0.60
32	0.58
33	0.62
34	0.58
35	0.59
36	0.59
37	0.67
38	0.58
39	0.62
40	0.61
41	0.63
42	0.60
43	0.62
44	0.62
45	0.55
46	0.60
47	0.61
48	0.60
49	0.59
50	0.62
51	0.64
52	0.56
53	0.63
54	0.63
55	0.67
56	0.59
57	0.61
58	0.59
59	0.58
60	0.63
