# [1]Indel length	[2]Count
-60	2448
-59	54
-58	86
-57	60
-56	105
-55	58
-54	117
-53	63
-52	113
-51	91
-50	172
-49	162
-48	179
-47	105
-46	151
-45	121
-44	205
-43	120
-42	225
-41	148
-40	414
-39	178
-38	294
-37	215
-36	445
-35	233
-34	389
-33	258
-32	625
-31	324
-30	766
-29	377
-28	920
-27	508
-26	877
-25	700
-24	1541
-23	661
-22	1301
-21	864
-20	2571
-19	1004
-18	2202
-17	1241
-16	3832
-15	2393
-14	3583
-13	2125
-12	7662
-11	2773
-10	7799
-9	4355
-8	13396
-7	5465
-6	16233
-5	15122
-4	50545
-3	34878
-2	91965
-1	229738
1	233767
2	91307
3	33045
4	48080
5	14159
6	16040
7	5194
8	13487
9	4116
10	7239
11	2572
12	7396
13	1869
14	3219
15	2306
16	3732
17	1108
18	2127
19	864
20	2525
21	812
22	1184
23	623
24	1494
25	660
26	815
27	465
28	877
29	361
30	704
31	309
32	526
33	239
34	370
35	260
36	413
37	184
38	239
39	166
40	337
41	146
42	221
43	131
44	202
45	129
46	154
47	115
48	190
49	121
50	134
51	87
52	138
53	87
54	125
55	79
56	90
57	65
58	83
59	69
60	2766
