# [1]Indel length	[2]Mean VAF
-60	0.57
-59	0.55
-58	0.55
-57	0.64
-56	0.65
-55	0.60
-54	0.61
-53	0.56
-52	0.61
-51	0.56
-50	0.60
-49	0.56
-48	0.59
-47	0.59
-46	0.59
-45	0.59
-44	0.63
-43	0.61
-42	0.62
-41	0.62
-40	0.62
-39	0.56
-38	0.62
-37	0.61
-36	0.65
-35	0.60
-34	0.64
-33	0.64
-32	0.64
-31	0.62
-30	0.64
-29	0.63
-28	0.62
-27	0.61
-26	0.66
-25	0.62
-24	0.64
-23	0.62
-22	0.65
-21	0.63
-20	0.62
-19	0.66
-18	0.64
-17	0.66
-16	0.64
-15	0.63
-14	0.65
-13	0.66
-12	0.63
-11	0.66
-10	0.62
-9	0.65
-8	0.62
-7	0.65
-6	0.63
-5	0.63
-4	0.63
-3	0.63
-2	0.64
-1	0.68
1	0.67
2	0.63
3	0.63
4	0.63
5	0.62
6	0.58
7	0.59
8	0.58
9	0.59
10	0.57
11	0.59
12	0.57
13	0.60
14	0.56
15	0.58
16	0.56
17	0.60
18	0.56
19	0.63
20	0.56
21	0.61
22	0.56
23	0.62
24	0.57
25	0.59
26	0.56
27	0.62
28	0.58
29	0.62
30	0.58
31	0.63
32	0.60
33	0.59
34	0.57
35	0.59
36	0.61
37	0.63
38	0.60
39	0.62
40	0.59
41	0.64
42	0.61
43	0.63
44	0.59
45	0.59
46	0.59
47	0.63
48	0.60
49	0.67
50	0.57
51	0.65
52	0.65
53	0.66
54	0.63
55	0.65
56	0.60
57	0.61
58	0.57
59	0.72
60	0.64
