# [1]Indel length	[2]Count
-60	2494
-59	51
-58	82
-57	64
-56	106
-55	51
-54	122
-53	73
-52	118
-51	91
-50	156
-49	138
-48	205
-47	111
-46	170
-45	116
-44	239
-43	132
-42	234
-41	139
-40	385
-39	188
-38	302
-37	213
-36	464
-35	264
-34	424
-33	240
-32	637
-31	318
-30	766
-29	401
-28	976
-27	508
-26	909
-25	733
-24	1637
-23	652
-22	1380
-21	818
-20	2521
-19	991
-18	2317
-17	1214
-16	3917
-15	2407
-14	3757
-13	2175
-12	7741
-11	2855
-10	7883
-9	4365
-8	13827
-7	5653
-6	16626
-5	15371
-4	51245
-3	35739
-2	93816
-1	234205
1	237369
2	93495
3	33940
4	49368
5	14536
6	16395
7	5409
8	13839
9	4318
10	7707
11	2736
12	7643
13	2026
14	3500
15	2359
16	3775
17	1181
18	2229
19	947
20	2608
21	860
22	1272
23	650
24	1549
25	692
26	863
27	512
28	976
29	348
30	768
31	309
32	636
33	272
34	412
35	278
36	470
37	203
38	284
39	200
40	385
41	147
42	229
43	135
44	192
45	130
46	171
47	113
48	177
49	108
50	145
51	81
52	134
53	79
54	138
55	81
56	110
57	51
58	80
59	58
60	2822
