# [1]Indel length	[2]Mean VAF
-60	0.58
-59	0.54
-58	0.54
-57	0.59
-56	0.59
-55	0.58
-54	0.58
-53	0.50
-52	0.65
-51	0.53
-50	0.58
-49	0.49
-48	0.60
-47	0.58
-46	0.59
-45	0.61
-44	0.65
-43	0.60
-42	0.63
-41	0.60
-40	0.60
-39	0.65
-38	0.63
-37	0.60
-36	0.65
-35	0.60
-34	0.64
-33	0.62
-32	0.63
-31	0.64
-30	0.63
-29	0.62
-28	0.63
-27	0.62
-26	0.65
-25	0.62
-24	0.63
-23	0.61
-22	0.64
-21	0.63
-20	0.63
-19	0.67
-18	0.64
-17	0.66
-16	0.63
-15	0.63
-14	0.64
-13	0.66
-12	0.62
-11	0.66
-10	0.62
-9	0.65
-8	0.63
-7	0.65
-6	0.63
-5	0.63
-4	0.63
-3	0.63
-2	0.64
-1	0.68
1	0.67
2	0.63
3	0.64
4	0.64
5	0.63
6	0.60
7	0.62
8	0.59
9	0.62
10	0.58
11	0.62
12	0.58
13	0.61
14	0.58
15	0.61
16	0.58
17	0.63
18	0.58
19	0.63
20	0.57
21	0.63
22	0.59
23	0.62
24	0.60
25	0.58
26	0.58
27	0.64
28	0.60
29	0.61
30	0.59
31	0.65
32	0.60
33	0.64
34	0.60
35	0.61
36	0.61
37	0.67
38	0.64
39	0.61
40	0.61
41	0.68
42	0.64
43	0.64
44	0.62
45	0.59
46	0.60
47	0.61
48	0.61
49	0.60
50	0.65
51	0.65
52	0.63
53	0.72
54	0.62
55	0.65
56	0.70
57	0.63
58	0.63
59	0.74
60	0.65
