# [1]Indel length	[2]Count
-60	2509
-59	37
-58	69
-57	64
-56	105
-55	69
-54	112
-53	62
-52	122
-51	78
-50	161
-49	146
-48	198
-47	105
-46	173
-45	136
-44	197
-43	106
-42	210
-41	142
-40	355
-39	190
-38	284
-37	217
-36	422
-35	240
-34	386
-33	265
-32	648
-31	327
-30	743
-29	373
-28	942
-27	499
-26	969
-25	650
-24	1571
-23	683
-22	1331
-21	855
-20	2529
-19	949
-18	2221
-17	1201
-16	3818
-15	2323
-14	3609
-13	2158
-12	7756
-11	2837
-10	7608
-9	4261
-8	13616
-7	5632
-6	16372
-5	14924
-4	50946
-3	35084
-2	92636
-1	231436
1	234646
2	91912
3	33394
4	48753
5	14160
6	15975
7	5264
8	13524
9	4085
10	7426
11	2573
12	7451
13	1882
14	3355
15	2247
16	3741
17	1108
18	2156
19	888
20	2516
21	852
22	1182
23	579
24	1506
25	661
26	810
27	458
28	878
29	335
30	721
31	313
32	613
33	283
34	360
35	258
36	419
37	184
38	259
39	179
40	335
41	145
42	212
43	123
44	180
45	127
46	139
47	109
48	191
49	109
50	143
51	78
52	135
53	85
54	115
55	80
56	117
57	56
58	72
59	63
60	2673
