# [1]Indel length	[2]Count
-60	2543
-59	38
-58	85
-57	58
-56	107
-55	47
-54	117
-53	67
-52	122
-51	76
-50	158
-49	144
-48	184
-47	103
-46	165
-45	135
-44	207
-43	109
-42	208
-41	142
-40	384
-39	190
-38	275
-37	204
-36	423
-35	237
-34	414
-33	241
-32	627
-31	296
-30	704
-29	378
-28	896
-27	459
-26	859
-25	671
-24	1509
-23	594
-22	1271
-21	774
-20	2410
-19	972
-18	2171
-17	1158
-16	3724
-15	2273
-14	3624
-13	2108
-12	7525
-11	2668
-10	7618
-9	4288
-8	13205
-7	5420
-6	16041
-5	14909
-4	50023
-3	34407
-2	91044
-1	227183
1	230813
2	89402
3	32376
4	47248
5	13683
6	15266
7	4969
8	12975
9	3931
10	6973
11	2355
12	7074
13	1805
14	3098
15	2113
16	3394
17	1024
18	1893
19	783
20	2265
21	711
22	1079
23	569
24	1368
25	631
26	719
27	451
28	796
29	294
30	594
31	299
32	494
33	215
34	331
35	242
36	390
37	178
38	214
39	161
40	292
41	121
42	185
43	119
44	149
45	107
46	133
47	97
48	171
49	97
50	128
51	74
52	107
53	74
54	92
55	73
56	91
57	60
58	80
59	54
60	2238
