# [1]Indel length	[2]Mean VAF
-60	0.56
-59	0.51
-58	0.55
-57	0.58
-56	0.62
-55	0.63
-54	0.60
-53	0.60
-52	0.54
-51	0.57
-50	0.60
-49	0.52
-48	0.58
-47	0.58
-46	0.66
-45	0.57
-44	0.61
-43	0.58
-42	0.63
-41	0.61
-40	0.58
-39	0.56
-38	0.62
-37	0.59
-36	0.63
-35	0.61
-34	0.65
-33	0.60
-32	0.63
-31	0.64
-30	0.63
-29	0.63
-28	0.62
-27	0.63
-26	0.64
-25	0.61
-24	0.63
-23	0.62
-22	0.64
-21	0.63
-20	0.62
-19	0.65
-18	0.64
-17	0.67
-16	0.63
-15	0.63
-14	0.64
-13	0.66
-12	0.63
-11	0.65
-10	0.62
-9	0.65
-8	0.62
-7	0.65
-6	0.62
-5	0.63
-4	0.63
-3	0.63
-2	0.64
-1	0.68
1	0.67
2	0.63
3	0.64
4	0.63
5	0.62
6	0.59
7	0.60
8	0.58
9	0.59
10	0.57
11	0.59
12	0.58
13	0.59
14	0.56
15	0.58
16	0.57
17	0.59
18	0.56
19	0.62
20	0.56
21	0.61
22	0.57
23	0.61
24	0.58
25	0.59
26	0.57
27	0.63
28	0.58
29	0.60
30	0.57
31	0.63
32	0.57
33	0.64
34	0.58
35	0.61
36	0.61
37	0.61
38	0.63
39	0.61
40	0.61
41	0.69
42	0.64
43	0.59
44	0.61
45	0.56
46	0.60
47	0.61
48	0.58
49	0.63
50	0.60
51	0.64
52	0.62
53	0.64
54	0.59
55	0.61
56	0.57
57	0.63
58	0.65
59	0.65
60	0.63
