# [1]Indel length	[2]Mean VAF
-60	0.57
-59	0.56
-58	0.56
-57	0.54
-56	0.60
-55	0.53
-54	0.57
-53	0.62
-52	0.57
-51	0.56
-50	0.58
-49	0.51
-48	0.61
-47	0.55
-46	0.62
-45	0.57
-44	0.60
-43	0.59
-42	0.63
-41	0.63
-40	0.58
-39	0.60
-38	0.61
-37	0.55
-36	0.60
-35	0.62
-34	0.65
-33	0.62
-32	0.65
-31	0.62
-30	0.64
-29	0.63
-28	0.63
-27	0.63
-26	0.64
-25	0.62
-24	0.63
-23	0.62
-22	0.64
-21	0.62
-20	0.61
-19	0.65
-18	0.64
-17	0.65
-16	0.63
-15	0.61
-14	0.63
-13	0.66
-12	0.63
-11	0.66
-10	0.61
-9	0.64
-8	0.62
-7	0.65
-6	0.62
-5	0.63
-4	0.63
-3	0.63
-2	0.64
-1	0.68
1	0.67
2	0.62
3	0.63
4	0.63
5	0.62
6	0.59
7	0.59
8	0.57
9	0.60
10	0.56
11	0.58
12	0.57
13	0.59
14	0.55
15	0.57
16	0.56
17	0.60
18	0.55
19	0.61
20	0.55
21	0.58
22	0.56
23	0.60
24	0.56
25	0.60
26	0.57
27	0.62
28	0.57
29	0.61
30	0.58
31	0.62
32	0.56
33	0.62
34	0.57
35	0.58
36	0.58
37	0.63
38	0.60
39	0.59
40	0.58
41	0.66
42	0.64
43	0.59
44	0.58
45	0.55
46	0.59
47	0.60
48	0.59
49	0.61
50	0.61
51	0.61
52	0.61
53	0.61
54	0.60
55	0.58
56	0.61
57	0.61
58	0.68
59	0.65
60	0.63
