# [1]Indel length	[2]Mean VAF
-60	0.59
-59	0.56
-58	0.61
-57	0.59
-56	0.64
-55	0.57
-54	0.60
-53	0.59
-52	0.61
-51	0.59
-50	0.62
-49	0.60
-48	0.60
-47	0.62
-46	0.65
-45	0.60
-44	0.67
-43	0.63
-42	0.65
-41	0.63
-40	0.62
-39	0.63
-38	0.67
-37	0.63
-36	0.65
-35	0.60
-34	0.70
-33	0.62
-32	0.66
-31	0.65
-30	0.65
-29	0.66
-28	0.66
-27	0.63
-26	0.68
-25	0.63
-24	0.66
-23	0.62
-22	0.69
-21	0.65
-20	0.64
-19	0.67
-18	0.66
-17	0.68
-16	0.65
-15	0.64
-14	0.65
-13	0.68
-12	0.65
-11	0.67
-10	0.64
-9	0.66
-8	0.64
-7	0.67
-6	0.65
-5	0.64
-4	0.65
-3	0.65
-2	0.66
-1	0.69
1	0.68
2	0.65
3	0.66
4	0.65
5	0.64
6	0.61
7	0.62
8	0.60
9	0.62
10	0.58
11	0.63
12	0.60
13	0.62
14	0.59
15	0.60
16	0.59
17	0.63
18	0.58
19	0.65
20	0.58
21	0.63
22	0.59
23	0.65
24	0.60
25	0.63
26	0.61
27	0.63
28	0.62
29	0.64
30	0.59
31	0.64
32	0.62
33	0.66
34	0.62
35	0.61
36	0.63
37	0.66
38	0.65
39	0.65
40	0.60
41	0.68
42	0.63
43	0.62
44	0.58
45	0.62
46	0.63
47	0.66
48	0.59
49	0.63
50	0.60
51	0.64
52	0.66
53	0.69
54	0.69
55	0.59
56	0.68
57	0.68
58	0.60
59	0.65
60	0.65
