# [1]Indel length	[2]Mean VAF
-60	0.56
-59	0.59
-58	0.57
-57	0.64
-56	0.63
-55	0.63
-54	0.62
-53	0.63
-52	0.61
-51	0.57
-50	0.57
-49	0.54
-48	0.57
-47	0.59
-46	0.60
-45	0.58
-44	0.62
-43	0.64
-42	0.63
-41	0.64
-40	0.58
-39	0.58
-38	0.60
-37	0.58
-36	0.60
-35	0.59
-34	0.63
-33	0.59
-32	0.64
-31	0.61
-30	0.62
-29	0.63
-28	0.62
-27	0.63
-26	0.62
-25	0.63
-24	0.63
-23	0.59
-22	0.63
-21	0.63
-20	0.61
-19	0.64
-18	0.64
-17	0.65
-16	0.62
-15	0.61
-14	0.63
-13	0.66
-12	0.63
-11	0.65
-10	0.62
-9	0.65
-8	0.62
-7	0.64
-6	0.62
-5	0.63
-4	0.63
-3	0.63
-2	0.64
-1	0.68
1	0.67
2	0.62
3	0.63
4	0.63
5	0.61
6	0.58
7	0.57
8	0.57
9	0.57
10	0.55
11	0.56
12	0.55
13	0.56
14	0.55
15	0.56
16	0.55
17	0.59
18	0.53
19	0.59
20	0.55
21	0.59
22	0.53
23	0.59
24	0.55
25	0.57
26	0.54
27	0.58
28	0.54
29	0.57
30	0.55
31	0.60
32	0.54
33	0.60
34	0.55
35	0.59
36	0.55
37	0.64
38	0.55
39	0.57
40	0.58
41	0.63
42	0.60
43	0.59
44	0.57
45	0.60
46	0.58
47	0.60
48	0.59
49	0.61
50	0.58
51	0.57
52	0.61
53	0.64
54	0.61
55	0.59
56	0.58
57	0.54
58	0.63
59	0.67
60	0.60
