# [1]Indel length	[2]Count
-60	2544
-59	46
-58	73
-57	46
-56	119
-55	70
-54	117
-53	61
-52	119
-51	77
-50	159
-49	134
-48	203
-47	104
-46	171
-45	134
-44	217
-43	121
-42	214
-41	129
-40	375
-39	166
-38	308
-37	214
-36	453
-35	229
-34	403
-33	250
-32	635
-31	310
-30	783
-29	376
-28	977
-27	523
-26	924
-25	703
-24	1535
-23	644
-22	1296
-21	839
-20	2564
-19	982
-18	2300
-17	1235
-16	3839
-15	2424
-14	3740
-13	2130
-12	7903
-11	2751
-10	7838
-9	4431
-8	13883
-7	5627
-6	16643
-5	15484
-4	51506
-3	35471
-2	94179
-1	234059
1	237596
2	92890
3	33460
4	48934
5	14172
6	16012
7	5163
8	13669
9	4046
10	7416
11	2545
12	7371
13	1797
14	3368
15	2227
16	3636
17	1049
18	2091
19	915
20	2500
21	770
22	1152
23	612
24	1468
25	655
26	789
27	456
28	891
29	325
30	674
31	277
32	595
33	246
34	344
35	250
36	405
37	189
38	231
39	176
40	334
41	136
42	179
43	128
44	167
45	123
46	130
47	95
48	164
49	109
50	124
51	76
52	120
53	81
54	100
55	71
56	97
57	44
58	80
59	54
60	2372
