# [1]Indel length	[2]Count
-60	2455
-59	44
-58	80
-57	58
-56	119
-55	72
-54	121
-53	57
-52	117
-51	80
-50	162
-49	151
-48	213
-47	108
-46	162
-45	134
-44	203
-43	121
-42	233
-41	147
-40	377
-39	190
-38	282
-37	212
-36	450
-35	240
-34	417
-33	279
-32	634
-31	332
-30	734
-29	394
-28	914
-27	476
-26	896
-25	679
-24	1575
-23	624
-22	1303
-21	786
-20	2479
-19	1012
-18	2228
-17	1225
-16	3758
-15	2418
-14	3535
-13	2031
-12	7636
-11	2714
-10	7749
-9	4364
-8	13512
-7	5517
-6	16333
-5	15164
-4	50397
-3	34840
-2	91373
-1	228508
1	231803
2	91019
3	33179
4	47767
5	14099
6	15740
7	5144
8	13531
9	4022
10	7516
11	2538
12	7293
13	1900
14	3314
15	2191
16	3720
17	1069
18	2141
19	861
20	2523
21	794
22	1184
23	585
24	1463
25	625
26	825
27	462
28	902
29	351
30	666
31	334
32	596
33	258
34	381
35	251
36	443
37	195
38	256
39	160
40	338
41	126
42	238
43	118
44	161
45	129
46	131
47	116
48	183
49	128
50	141
51	80
52	132
53	84
54	126
55	93
56	112
57	76
58	76
59	63
60	2723
