# [1]Indel length	[2]Count
-60	2480
-59	43
-58	70
-57	64
-56	101
-55	62
-54	109
-53	65
-52	111
-51	95
-50	158
-49	149
-48	201
-47	104
-46	170
-45	124
-44	215
-43	133
-42	210
-41	144
-40	360
-39	182
-38	284
-37	202
-36	445
-35	236
-34	408
-33	277
-32	645
-31	317
-30	748
-29	400
-28	898
-27	490
-26	915
-25	684
-24	1514
-23	653
-22	1279
-21	776
-20	2594
-19	966
-18	2179
-17	1190
-16	3743
-15	2373
-14	3621
-13	2148
-12	7596
-11	2833
-10	7712
-9	4245
-8	13325
-7	5543
-6	16058
-5	14978
-4	49988
-3	34849
-2	91329
-1	228403
1	232486
2	90953
3	33035
4	47979
5	14033
6	15515
7	5141
8	13378
9	4123
10	7247
11	2545
12	7279
13	1835
14	3210
15	2183
16	3569
17	1086
18	1993
19	831
20	2447
21	785
22	1167
23	596
24	1460
25	603
26	760
27	438
28	854
29	339
30	694
31	309
32	545
33	269
34	366
35	252
36	386
37	180
38	226
39	175
40	332
41	146
42	207
43	126
44	174
45	134
46	117
47	103
48	168
49	108
50	130
51	74
52	138
53	67
54	116
55	77
56	100
57	54
58	88
59	51
60	2499
