# [1]Indel length	[2]Mean VAF
-60	0.58
-59	0.55
-58	0.63
-57	0.66
-56	0.59
-55	0.58
-54	0.68
-53	0.55
-52	0.63
-51	0.57
-50	0.63
-49	0.61
-48	0.60
-47	0.60
-46	0.63
-45	0.64
-44	0.61
-43	0.62
-42	0.67
-41	0.67
-40	0.62
-39	0.61
-38	0.65
-37	0.62
-36	0.66
-35	0.59
-34	0.66
-33	0.63
-32	0.67
-31	0.68
-30	0.64
-29	0.63
-28	0.64
-27	0.64
-26	0.66
-25	0.64
-24	0.65
-23	0.65
-22	0.66
-21	0.64
-20	0.63
-19	0.66
-18	0.66
-17	0.66
-16	0.64
-15	0.64
-14	0.65
-13	0.67
-12	0.63
-11	0.67
-10	0.63
-9	0.66
-8	0.63
-7	0.66
-6	0.63
-5	0.64
-4	0.63
-3	0.64
-2	0.65
-1	0.68
1	0.67
2	0.63
3	0.65
4	0.64
5	0.63
6	0.60
7	0.61
8	0.59
9	0.61
10	0.58
11	0.62
12	0.59
13	0.61
14	0.58
15	0.59
16	0.58
17	0.62
18	0.58
19	0.63
20	0.59
21	0.62
22	0.58
23	0.60
24	0.60
25	0.63
26	0.60
27	0.62
28	0.60
29	0.64
30	0.61
31	0.64
32	0.61
33	0.63
34	0.58
35	0.59
36	0.64
37	0.65
38	0.64
39	0.60
40	0.61
41	0.70
42	0.64
43	0.65
44	0.61
45	0.63
46	0.60
47	0.67
48	0.60
49	0.64
50	0.64
51	0.70
52	0.61
53	0.67
54	0.65
55	0.64
56	0.67
57	0.61
58	0.67
59	0.74
60	0.65
