# [1]Indel length	[2]Mean VAF
-60	0.59
-59	0.53
-58	0.60
-57	0.66
-56	0.59
-55	0.57
-54	0.58
-53	0.56
-52	0.58
-51	0.59
-50	0.59
-49	0.59
-48	0.62
-47	0.66
-46	0.63
-45	0.58
-44	0.64
-43	0.57
-42	0.64
-41	0.63
-40	0.63
-39	0.57
-38	0.64
-37	0.62
-36	0.65
-35	0.61
-34	0.64
-33	0.63
-32	0.67
-31	0.66
-30	0.65
-29	0.64
-28	0.65
-27	0.64
-26	0.65
-25	0.65
-24	0.64
-23	0.65
-22	0.67
-21	0.65
-20	0.63
-19	0.65
-18	0.65
-17	0.67
-16	0.65
-15	0.65
-14	0.66
-13	0.67
-12	0.64
-11	0.67
-10	0.64
-9	0.65
-8	0.64
-7	0.66
-6	0.64
-5	0.64
-4	0.64
-3	0.65
-2	0.65
-1	0.69
1	0.68
2	0.64
3	0.65
4	0.65
5	0.64
6	0.60
7	0.61
8	0.60
9	0.60
10	0.59
11	0.61
12	0.58
13	0.61
14	0.57
15	0.59
16	0.58
17	0.63
18	0.58
19	0.64
20	0.57
21	0.61
22	0.56
23	0.62
24	0.59
25	0.60
26	0.58
27	0.63
28	0.60
29	0.63
30	0.59
31	0.66
32	0.60
33	0.61
34	0.62
35	0.62
36	0.62
37	0.63
38	0.62
39	0.63
40	0.64
41	0.64
42	0.63
43	0.63
44	0.60
45	0.62
46	0.61
47	0.65
48	0.63
49	0.64
50	0.63
51	0.62
52	0.66
53	0.62
54	0.67
55	0.60
56	0.59
57	0.63
58	0.60
59	0.65
60	0.65
