# [1]Indel length	[2]Mean VAF
-60	0.57
-59	0.59
-58	0.53
-57	0.57
-56	0.64
-55	0.61
-54	0.61
-53	0.55
-52	0.57
-51	0.53
-50	0.60
-49	0.56
-48	0.60
-47	0.60
-46	0.61
-45	0.59
-44	0.59
-43	0.56
-42	0.65
-41	0.63
-40	0.59
-39	0.64
-38	0.62
-37	0.61
-36	0.62
-35	0.56
-34	0.65
-33	0.60
-32	0.65
-31	0.66
-30	0.64
-29	0.61
-28	0.63
-27	0.62
-26	0.65
-25	0.64
-24	0.64
-23	0.62
-22	0.64
-21	0.64
-20	0.62
-19	0.67
-18	0.64
-17	0.66
-16	0.64
-15	0.63
-14	0.65
-13	0.67
-12	0.64
-11	0.66
-10	0.63
-9	0.65
-8	0.63
-7	0.66
-6	0.63
-5	0.63
-4	0.63
-3	0.64
-2	0.65
-1	0.68
1	0.67
2	0.63
3	0.65
4	0.64
5	0.63
6	0.60
7	0.61
8	0.59
9	0.61
10	0.58
11	0.61
12	0.59
13	0.61
14	0.58
15	0.59
16	0.57
17	0.63
18	0.57
19	0.64
20	0.57
21	0.62
22	0.56
23	0.64
24	0.59
25	0.60
26	0.58
27	0.64
28	0.58
29	0.61
30	0.59
31	0.65
32	0.59
33	0.66
34	0.61
35	0.59
36	0.60
37	0.66
38	0.64
39	0.60
40	0.61
41	0.65
42	0.60
43	0.60
44	0.64
45	0.62
46	0.59
47	0.61
48	0.64
49	0.66
50	0.61
51	0.73
52	0.65
53	0.63
54	0.68
55	0.61
56	0.59
57	0.63
58	0.68
59	0.65
60	0.64
