# [1]Indel length	[2]Mean VAF
-60	0.55
-59	0.53
-58	0.53
-57	0.60
-56	0.62
-55	0.59
-54	0.57
-53	0.60
-52	0.59
-51	0.56
-50	0.59
-49	0.52
-48	0.57
-47	0.62
-46	0.63
-45	0.58
-44	0.57
-43	0.65
-42	0.63
-41	0.60
-40	0.61
-39	0.59
-38	0.62
-37	0.60
-36	0.61
-35	0.59
-34	0.63
-33	0.61
-32	0.64
-31	0.61
-30	0.61
-29	0.61
-28	0.63
-27	0.62
-26	0.62
-25	0.63
-24	0.63
-23	0.59
-22	0.63
-21	0.63
-20	0.61
-19	0.64
-18	0.64
-17	0.64
-16	0.62
-15	0.62
-14	0.63
-13	0.65
-12	0.62
-11	0.65
-10	0.61
-9	0.64
-8	0.62
-7	0.64
-6	0.62
-5	0.62
-4	0.62
-3	0.63
-2	0.63
-1	0.67
1	0.67
2	0.62
3	0.63
4	0.62
5	0.61
6	0.57
7	0.58
8	0.56
9	0.58
10	0.55
11	0.58
12	0.56
13	0.58
14	0.55
15	0.55
16	0.55
17	0.58
18	0.55
19	0.57
20	0.55
21	0.58
22	0.54
23	0.59
24	0.56
25	0.58
26	0.57
27	0.61
28	0.56
29	0.57
30	0.56
31	0.62
32	0.54
33	0.58
34	0.57
35	0.58
36	0.58
37	0.63
38	0.63
39	0.59
40	0.59
41	0.62
42	0.59
43	0.61
44	0.55
45	0.60
46	0.55
47	0.64
48	0.59
49	0.63
50	0.57
51	0.63
52	0.61
53	0.63
54	0.61
55	0.60
56	0.66
57	0.64
58	0.64
59	0.61
60	0.62
