# [1]Indel length	[2]Mean VAF
-60	0.57
-59	0.55
-58	0.56
-57	0.63
-56	0.59
-55	0.60
-54	0.61
-53	0.63
-52	0.62
-51	0.56
-50	0.62
-49	0.62
-48	0.57
-47	0.58
-46	0.62
-45	0.64
-44	0.61
-43	0.64
-42	0.60
-41	0.63
-40	0.62
-39	0.61
-38	0.63
-37	0.61
-36	0.63
-35	0.62
-34	0.65
-33	0.61
-32	0.64
-31	0.65
-30	0.65
-29	0.64
-28	0.65
-27	0.62
-26	0.65
-25	0.64
-24	0.65
-23	0.61
-22	0.65
-21	0.64
-20	0.62
-19	0.67
-18	0.65
-17	0.66
-16	0.63
-15	0.64
-14	0.65
-13	0.66
-12	0.63
-11	0.66
-10	0.63
-9	0.65
-8	0.62
-7	0.65
-6	0.62
-5	0.63
-4	0.63
-3	0.63
-2	0.64
-1	0.68
1	0.67
2	0.62
3	0.64
4	0.63
5	0.62
6	0.59
7	0.60
8	0.58
9	0.60
10	0.57
11	0.60
12	0.58
13	0.61
14	0.58
15	0.60
16	0.57
17	0.61
18	0.56
19	0.62
20	0.57
21	0.63
22	0.57
23	0.64
24	0.58
25	0.60
26	0.59
27	0.62
28	0.59
29	0.62
30	0.61
31	0.65
32	0.60
33	0.63
34	0.59
35	0.58
36	0.57
37	0.65
38	0.61
39	0.59
40	0.60
41	0.67
42	0.63
43	0.63
44	0.63
45	0.57
46	0.55
47	0.61
48	0.64
49	0.62
50	0.60
51	0.63
52	0.64
53	0.65
54	0.63
55	0.61
56	0.68
57	0.61
58	0.68
59	0.63
60	0.65
