# [1]Indel length	[2]Mean VAF
-60	0.56
-59	0.66
-58	0.58
-57	0.59
-56	0.64
-55	0.60
-54	0.58
-53	0.64
-52	0.61
-51	0.58
-50	0.61
-49	0.53
-48	0.62
-47	0.61
-46	0.62
-45	0.55
-44	0.63
-43	0.58
-42	0.63
-41	0.64
-40	0.60
-39	0.60
-38	0.64
-37	0.61
-36	0.63
-35	0.62
-34	0.64
-33	0.62
-32	0.65
-31	0.65
-30	0.64
-29	0.64
-28	0.64
-27	0.63
-26	0.66
-25	0.63
-24	0.65
-23	0.61
-22	0.64
-21	0.64
-20	0.62
-19	0.65
-18	0.65
-17	0.65
-16	0.63
-15	0.63
-14	0.64
-13	0.66
-12	0.63
-11	0.66
-10	0.63
-9	0.65
-8	0.63
-7	0.65
-6	0.63
-5	0.64
-4	0.64
-3	0.64
-2	0.65
-1	0.68
1	0.67
2	0.63
3	0.64
4	0.64
5	0.63
6	0.60
7	0.61
8	0.58
9	0.60
10	0.57
11	0.61
12	0.57
13	0.59
14	0.57
15	0.59
16	0.57
17	0.61
18	0.57
19	0.62
20	0.57
21	0.61
22	0.56
23	0.63
24	0.59
25	0.57
26	0.55
27	0.63
28	0.60
29	0.62
30	0.58
31	0.62
32	0.59
33	0.61
34	0.56
35	0.60
36	0.63
37	0.67
38	0.63
39	0.63
40	0.60
41	0.65
42	0.59
43	0.65
44	0.57
45	0.60
46	0.60
47	0.65
48	0.64
49	0.62
50	0.62
51	0.67
52	0.62
53	0.63
54	0.67
55	0.64
56	0.62
57	0.64
58	0.59
59	0.63
60	0.63
