# [1]Indel length	[2]Count
-60	2516
-59	47
-58	82
-57	59
-56	111
-55	56
-54	119
-53	64
-52	123
-51	78
-50	182
-49	153
-48	218
-47	105
-46	163
-45	132
-44	210
-43	109
-42	233
-41	127
-40	382
-39	192
-38	330
-37	204
-36	451
-35	244
-34	413
-33	272
-32	648
-31	310
-30	809
-29	371
-28	942
-27	553
-26	886
-25	702
-24	1534
-23	612
-22	1291
-21	836
-20	2514
-19	984
-18	2312
-17	1231
-16	3763
-15	2418
-14	3658
-13	2102
-12	7732
-11	2814
-10	7861
-9	4371
-8	13475
-7	5633
-6	16281
-5	15275
-4	50632
-3	35205
-2	93065
-1	231513
1	235383
2	91376
3	33689
4	48576
5	14181
6	15785
7	5330
8	13605
9	4131
10	7436
11	2603
12	7429
13	1891
14	3355
15	2281
16	3638
17	1120
18	2203
19	933
20	2435
21	810
22	1180
23	632
24	1493
25	690
26	867
27	493
28	913
29	334
30	740
31	311
32	604
33	238
34	367
35	260
36	431
37	202
38	250
39	173
40	360
41	119
42	214
43	137
44	169
45	135
46	142
47	102
48	187
49	119
50	142
51	97
52	133
53	89
54	144
55	80
56	89
57	71
58	86
59	78
60	2818
