# [1]Indel length	[2]Count
-60	2511
-59	46
-58	95
-57	47
-56	114
-55	66
-54	126
-53	70
-52	112
-51	87
-50	165
-49	171
-48	209
-47	100
-46	171
-45	129
-44	211
-43	114
-42	233
-41	150
-40	385
-39	177
-38	322
-37	190
-36	450
-35	257
-34	396
-33	289
-32	668
-31	345
-30	791
-29	369
-28	959
-27	516
-26	901
-25	720
-24	1535
-23	630
-22	1321
-21	829
-20	2584
-19	989
-18	2182
-17	1244
-16	3864
-15	2423
-14	3800
-13	2156
-12	7818
-11	2821
-10	7867
-9	4358
-8	13791
-7	5655
-6	16659
-5	15195
-4	51142
-3	35182
-2	93064
-1	232980
1	235786
2	92471
3	33508
4	48806
5	14373
6	16060
7	5292
8	13751
9	4150
10	7390
11	2609
12	7619
13	1881
14	3415
15	2274
16	3721
17	1088
18	2168
19	883
20	2504
21	797
22	1234
23	628
24	1566
25	667
26	862
27	481
28	881
29	343
30	737
31	321
32	662
33	268
34	396
35	286
36	459
37	202
38	269
39	170
40	356
41	144
42	210
43	120
44	183
45	130
46	154
47	106
48	175
49	126
50	144
51	84
52	145
53	82
54	115
55	76
56	96
57	73
58	101
59	61
60	2848
