# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
1	0.076765	0.076765
2	0.376907	0.300142
3	0.663389	0.286482
4	0.964637	0.301248
5	1.283125	0.318488
6	1.621287	0.338162
7	1.979848	0.358561
8	2.363313	0.383465
9	2.766915	0.403602
10	3.193309	0.426394
11	3.648571	0.455262
12	4.124613	0.476042
13	4.628296	0.503683
14	5.168350	0.540054
15	5.744594	0.576244
16	6.356022	0.611428
17	7.025567	0.669545
18	7.728104	0.702537
19	8.502598	0.774494
20	9.354884	0.852286
21	10.288502	0.933618
22	11.328597	1.040095
23	12.490278	1.161681
24	13.775556	1.285278
25	15.216618	1.441062
26	16.812378	1.595760
27	18.577823	1.765445
28	20.522568	1.944745
29	22.654298	2.131730
30	24.995846	2.341548
31	27.524942	2.529096
32	30.262326	2.737384
33	33.183638	2.921312
34	36.272180	3.088542
35	39.524895	3.252715
36	42.896842	3.371947
37	46.391742	3.494900
38	49.953852	3.562110
39	53.548431	3.594579
40	57.146329	3.597898
41	60.699970	3.553641
42	64.184591	3.484621
43	67.559113	3.374522
44	70.786581	3.227468
45	73.834709	3.048128
46	76.697743	2.863034
47	79.337662	2.639919
48	81.766174	2.428512
49	83.971954	2.205780
50	85.962565	1.990611
51	87.741649	1.779084
52	89.318861	1.577212
53	90.695248	1.376387
54	91.891409	1.196161
55	92.927401	1.035992
56	93.820343	0.892942
57	94.574519	0.754176
58	95.213185	0.638666
59	95.748813	0.535628
60	96.201399	0.452586
61	96.577964	0.376565
62	96.889331	0.311367
63	97.149943	0.260612
64	97.367123	0.217180
65	97.551372	0.184249
66	97.704521	0.153149
67	97.834012	0.129491
68	97.947490	0.113478
69	98.039625	0.092135
70	98.120434	0.080809
71	98.193196	0.072762
72	98.257932	0.064736
73	98.315707	0.057775
74	98.368292	0.052585
75	98.415868	0.047576
76	98.458777	0.042909
77	98.499192	0.040415
78	98.537534	0.038342
79	98.573422	0.035888
80	98.608988	0.035566
81	98.641698	0.032710
82	98.675192	0.033494
83	98.706554	0.031362
84	98.736528	0.029974
85	98.764611	0.028083
86	98.792151	0.027540
87	98.818343	0.026192
88	98.846084	0.027741
89	98.869882	0.023798
90	98.894686	0.024804
91	98.918665	0.023979
92	98.942021	0.023356
93	98.966060	0.024039
94	98.989094	0.023034
95	99.010317	0.021223
