# [1]Indel length	[2]Mean VAF
-60	0.57
-59	0.53
-58	0.56
-57	0.56
-56	0.63
-55	0.57
-54	0.59
-53	0.56
-52	0.63
-51	0.57
-50	0.61
-49	0.54
-48	0.58
-47	0.62
-46	0.63
-45	0.62
-44	0.62
-43	0.62
-42	0.62
-41	0.62
-40	0.59
-39	0.61
-38	0.62
-37	0.57
-36	0.63
-35	0.61
-34	0.62
-33	0.60
-32	0.64
-31	0.63
-30	0.63
-29	0.62
-28	0.62
-27	0.62
-26	0.62
-25	0.63
-24	0.63
-23	0.62
-22	0.64
-21	0.62
-20	0.62
-19	0.64
-18	0.63
-17	0.66
-16	0.62
-15	0.63
-14	0.63
-13	0.67
-12	0.62
-11	0.65
-10	0.61
-9	0.65
-8	0.62
-7	0.65
-6	0.62
-5	0.63
-4	0.63
-3	0.63
-2	0.64
-1	0.67
1	0.67
2	0.62
3	0.63
4	0.63
5	0.62
6	0.58
7	0.60
8	0.57
9	0.59
10	0.57
11	0.59
12	0.56
13	0.59
14	0.55
15	0.57
16	0.56
17	0.61
18	0.54
19	0.61
20	0.55
21	0.59
22	0.56
23	0.59
24	0.57
25	0.60
26	0.55
27	0.61
28	0.57
29	0.59
30	0.57
31	0.62
32	0.57
33	0.62
34	0.59
35	0.58
36	0.59
37	0.66
38	0.61
39	0.63
40	0.58
41	0.66
42	0.60
43	0.63
44	0.59
45	0.57
46	0.58
47	0.64
48	0.61
49	0.65
50	0.59
51	0.59
52	0.62
53	0.65
54	0.63
55	0.57
56	0.62
57	0.63
58	0.59
59	0.60
60	0.63
