# [1]Indel length	[2]Mean VAF
-60	0.56
-59	0.59
-58	0.53
-57	0.60
-56	0.57
-55	0.56
-54	0.54
-53	0.56
-52	0.55
-51	0.53
-50	0.56
-49	0.52
-48	0.55
-47	0.61
-46	0.63
-45	0.56
-44	0.61
-43	0.60
-42	0.58
-41	0.61
-40	0.57
-39	0.58
-38	0.62
-37	0.58
-36	0.59
-35	0.57
-34	0.62
-33	0.61
-32	0.62
-31	0.65
-30	0.62
-29	0.62
-28	0.62
-27	0.59
-26	0.63
-25	0.60
-24	0.62
-23	0.61
-22	0.63
-21	0.63
-20	0.61
-19	0.63
-18	0.63
-17	0.64
-16	0.62
-15	0.62
-14	0.63
-13	0.65
-12	0.62
-11	0.64
-10	0.61
-9	0.63
-8	0.61
-7	0.63
-6	0.61
-5	0.62
-4	0.62
-3	0.63
-2	0.63
-1	0.67
1	0.66
2	0.61
3	0.62
4	0.62
5	0.61
6	0.56
7	0.56
8	0.56
9	0.56
10	0.54
11	0.53
12	0.54
13	0.55
14	0.53
15	0.54
16	0.53
17	0.56
18	0.53
19	0.55
20	0.53
21	0.55
22	0.51
23	0.55
24	0.53
25	0.55
26	0.52
27	0.56
28	0.54
29	0.55
30	0.54
31	0.59
32	0.53
33	0.58
34	0.53
35	0.56
36	0.53
37	0.59
38	0.56
39	0.55
40	0.53
41	0.62
42	0.57
43	0.56
44	0.60
45	0.58
46	0.51
47	0.57
48	0.56
49	0.58
50	0.62
51	0.58
52	0.58
53	0.60
54	0.55
55	0.58
56	0.60
57	0.60
58	0.57
59	0.59
60	0.61
