# [1]Indel length	[2]Mean VAF
-60	0.56
-59	0.54
-58	0.50
-57	0.59
-56	0.60
-55	0.54
-54	0.61
-53	0.57
-52	0.60
-51	0.57
-50	0.60
-49	0.56
-48	0.60
-47	0.59
-46	0.60
-45	0.63
-44	0.61
-43	0.68
-42	0.66
-41	0.62
-40	0.60
-39	0.57
-38	0.63
-37	0.60
-36	0.61
-35	0.60
-34	0.63
-33	0.59
-32	0.65
-31	0.65
-30	0.61
-29	0.64
-28	0.63
-27	0.61
-26	0.63
-25	0.61
-24	0.62
-23	0.63
-22	0.64
-21	0.63
-20	0.62
-19	0.64
-18	0.64
-17	0.66
-16	0.62
-15	0.63
-14	0.63
-13	0.66
-12	0.63
-11	0.66
-10	0.61
-9	0.64
-8	0.62
-7	0.64
-6	0.62
-5	0.63
-4	0.63
-3	0.63
-2	0.64
-1	0.67
1	0.67
2	0.62
3	0.63
4	0.63
5	0.62
6	0.59
7	0.59
8	0.57
9	0.59
10	0.56
11	0.59
12	0.57
13	0.59
14	0.55
15	0.57
16	0.56
17	0.59
18	0.55
19	0.61
20	0.56
21	0.61
22	0.56
23	0.62
24	0.56
25	0.59
26	0.57
27	0.62
28	0.58
29	0.59
30	0.56
31	0.64
32	0.59
33	0.60
34	0.59
35	0.61
36	0.58
37	0.67
38	0.60
39	0.62
40	0.59
41	0.67
42	0.62
43	0.60
44	0.60
45	0.62
46	0.62
47	0.58
48	0.59
49	0.64
50	0.64
51	0.66
52	0.59
53	0.60
54	0.65
55	0.58
56	0.62
57	0.66
58	0.67
59	0.65
60	0.64
