# [1]Indel length	[2]Count
-60	2396
-59	39
-58	86
-57	58
-56	115
-55	55
-54	111
-53	56
-52	129
-51	83
-50	149
-49	142
-48	182
-47	96
-46	148
-45	131
-44	196
-43	117
-42	216
-41	141
-40	380
-39	194
-38	305
-37	205
-36	448
-35	245
-34	380
-33	290
-32	662
-31	325
-30	774
-29	350
-28	920
-27	477
-26	888
-25	719
-24	1473
-23	636
-22	1259
-21	832
-20	2388
-19	1005
-18	2168
-17	1243
-16	3755
-15	2271
-14	3599
-13	2077
-12	7551
-11	2781
-10	7632
-9	4309
-8	13479
-7	5490
-6	16261
-5	15111
-4	50598
-3	35298
-2	92647
-1	228623
1	233381
2	91546
3	33221
4	48220
5	14042
6	16044
7	5141
8	13138
9	4129
10	7303
11	2533
12	7185
13	1807
14	3211
15	2137
16	3521
17	1129
18	2068
19	848
20	2333
21	778
22	1120
23	589
24	1442
25	607
26	750
27	464
28	817
29	311
30	652
31	284
32	518
33	234
34	324
35	244
36	434
37	193
38	247
39	158
40	331
41	148
42	185
43	114
44	168
45	120
46	131
47	102
48	159
49	116
50	109
51	69
52	110
53	90
54	141
55	73
56	89
57	55
58	78
59	57
60	2451
