# [1]Indel length	[2]Mean VAF
-60	0.56
-59	0.53
-58	0.53
-57	0.59
-56	0.61
-55	0.50
-54	0.58
-53	0.57
-52	0.59
-51	0.57
-50	0.62
-49	0.55
-48	0.56
-47	0.57
-46	0.60
-45	0.58
-44	0.59
-43	0.62
-42	0.64
-41	0.57
-40	0.59
-39	0.56
-38	0.63
-37	0.58
-36	0.63
-35	0.59
-34	0.63
-33	0.60
-32	0.62
-31	0.62
-30	0.64
-29	0.64
-28	0.62
-27	0.62
-26	0.64
-25	0.62
-24	0.63
-23	0.62
-22	0.64
-21	0.64
-20	0.61
-19	0.65
-18	0.64
-17	0.66
-16	0.63
-15	0.63
-14	0.64
-13	0.66
-12	0.63
-11	0.66
-10	0.62
-9	0.65
-8	0.62
-7	0.65
-6	0.62
-5	0.62
-4	0.63
-3	0.63
-2	0.64
-1	0.68
1	0.67
2	0.63
3	0.64
4	0.63
5	0.63
6	0.59
7	0.62
8	0.58
9	0.61
10	0.57
11	0.61
12	0.58
13	0.63
14	0.57
15	0.60
16	0.57
17	0.61
18	0.57
19	0.63
20	0.57
21	0.61
22	0.57
23	0.62
24	0.57
25	0.60
26	0.59
27	0.65
28	0.59
29	0.62
30	0.58
31	0.64
32	0.60
33	0.64
34	0.58
35	0.62
36	0.59
37	0.60
38	0.61
39	0.59
40	0.62
41	0.68
42	0.65
43	0.63
44	0.62
45	0.57
46	0.59
47	0.62
48	0.62
49	0.62
50	0.65
51	0.68
52	0.63
53	0.67
54	0.63
55	0.64
56	0.68
57	0.65
58	0.62
59	0.68
60	0.64
