# [1]Indel length	[2]Count
-60	2481
-59	43
-58	81
-57	59
-56	102
-55	67
-54	113
-53	66
-52	118
-51	92
-50	155
-49	118
-48	194
-47	108
-46	153
-45	122
-44	209
-43	110
-42	195
-41	131
-40	346
-39	189
-38	285
-37	198
-36	436
-35	241
-34	379
-33	273
-32	616
-31	316
-30	719
-29	377
-28	915
-27	469
-26	920
-25	662
-24	1461
-23	592
-22	1230
-21	748
-20	2406
-19	921
-18	2167
-17	1188
-16	3703
-15	2317
-14	3491
-13	2045
-12	7458
-11	2733
-10	7603
-9	4163
-8	13245
-7	5455
-6	15900
-5	14915
-4	49733
-3	34275
-2	90431
-1	226033
1	228672
2	88623
3	32183
4	47168
5	13736
6	15463
7	4957
8	12791
9	3892
10	6888
11	2453
12	6936
13	1706
14	3071
15	2090
16	3403
17	1012
18	1993
19	803
20	2300
21	702
22	1045
23	553
24	1363
25	590
26	740
27	442
28	804
29	311
30	628
31	285
32	523
33	216
34	336
35	220
36	370
37	168
38	221
39	145
40	283
41	116
42	174
43	108
44	155
45	116
46	135
47	102
48	143
49	107
50	130
51	81
52	113
53	77
54	98
55	62
56	94
57	49
58	81
59	53
60	2123
