# [1]Indel length	[2]Mean VAF
-60	0.57
-59	0.57
-58	0.57
-57	0.62
-56	0.58
-55	0.60
-54	0.59
-53	0.63
-52	0.52
-51	0.61
-50	0.57
-49	0.55
-48	0.59
-47	0.58
-46	0.62
-45	0.57
-44	0.62
-43	0.65
-42	0.63
-41	0.61
-40	0.60
-39	0.59
-38	0.61
-37	0.59
-36	0.64
-35	0.61
-34	0.64
-33	0.64
-32	0.63
-31	0.66
-30	0.64
-29	0.62
-28	0.64
-27	0.62
-26	0.65
-25	0.65
-24	0.64
-23	0.61
-22	0.64
-21	0.64
-20	0.63
-19	0.65
-18	0.63
-17	0.66
-16	0.63
-15	0.64
-14	0.64
-13	0.66
-12	0.63
-11	0.65
-10	0.62
-9	0.65
-8	0.62
-7	0.65
-6	0.63
-5	0.63
-4	0.63
-3	0.64
-2	0.64
-1	0.68
1	0.67
2	0.63
3	0.64
4	0.64
5	0.63
6	0.59
7	0.59
8	0.58
9	0.59
10	0.57
11	0.60
12	0.57
13	0.59
14	0.56
15	0.58
16	0.57
17	0.61
18	0.55
19	0.64
20	0.57
21	0.60
22	0.56
23	0.62
24	0.58
25	0.59
26	0.55
27	0.61
28	0.59
29	0.62
30	0.57
31	0.63
32	0.59
33	0.61
34	0.56
35	0.61
36	0.59
37	0.63
38	0.58
39	0.59
40	0.59
41	0.65
42	0.62
43	0.62
44	0.58
45	0.58
46	0.58
47	0.58
48	0.60
49	0.61
50	0.62
51	0.59
52	0.66
53	0.69
54	0.63
55	0.60
56	0.61
57	0.64
58	0.64
59	0.66
60	0.64
