# [1]Indel length	[2]Count
-60	2429
-59	42
-58	80
-57	55
-56	110
-55	66
-54	111
-53	67
-52	114
-51	72
-50	150
-49	129
-48	195
-47	91
-46	140
-45	124
-44	189
-43	121
-42	213
-41	133
-40	387
-39	177
-38	300
-37	186
-36	410
-35	244
-34	411
-33	253
-32	622
-31	310
-30	765
-29	344
-28	874
-27	476
-26	915
-25	652
-24	1530
-23	642
-22	1237
-21	791
-20	2511
-19	956
-18	2169
-17	1183
-16	3726
-15	2291
-14	3531
-13	2073
-12	7489
-11	2704
-10	7790
-9	4131
-8	13462
-7	5492
-6	16095
-5	14901
-4	50227
-3	34455
-2	91666
-1	227812
1	230946
2	89629
3	32648
4	47606
5	13747
6	15384
7	5066
8	13421
9	3933
10	7124
11	2497
12	7186
13	1779
14	3208
15	2156
16	3562
17	977
18	2077
19	848
20	2296
21	753
22	1108
23	551
24	1380
25	589
26	763
27	425
28	823
29	335
30	616
31	278
32	541
33	229
34	333
35	228
36	378
37	170
38	217
39	160
40	284
41	132
42	180
43	126
44	140
45	126
46	121
47	95
48	144
49	93
50	121
51	75
52	107
53	62
54	113
55	68
56	94
57	56
58	72
59	52
60	2195
