# [1]Indel length	[2]Count
-60	2504
-59	45
-58	81
-57	58
-56	114
-55	51
-54	111
-53	72
-52	121
-51	83
-50	154
-49	147
-48	206
-47	102
-46	143
-45	137
-44	204
-43	109
-42	222
-41	133
-40	407
-39	187
-38	333
-37	208
-36	439
-35	268
-34	394
-33	276
-32	635
-31	332
-30	732
-29	407
-28	951
-27	496
-26	904
-25	656
-24	1566
-23	643
-22	1303
-21	826
-20	2462
-19	981
-18	2152
-17	1220
-16	3805
-15	2397
-14	3643
-13	2102
-12	7588
-11	2760
-10	7746
-9	4350
-8	13393
-7	5510
-6	16086
-5	15152
-4	50556
-3	34933
-2	92149
-1	229872
1	232912
2	91161
3	33092
4	48018
5	14208
6	15834
7	5180
8	13520
9	4150
10	7434
11	2635
12	7412
13	1863
14	3370
15	2248
16	3744
17	1059
18	2125
19	881
20	2506
21	793
22	1187
23	638
24	1520
25	620
26	817
27	450
28	907
29	341
30	759
31	290
32	570
33	243
34	364
35	257
36	433
37	204
38	264
39	164
40	353
41	146
42	221
43	114
44	163
45	135
46	138
47	108
48	176
49	116
50	129
51	79
52	127
53	97
54	110
55	73
56	115
57	61
58	78
59	66
60	2678
