# [1]Indel length	[2]Mean VAF
-60	0.56
-59	0.53
-58	0.59
-57	0.62
-56	0.62
-55	0.62
-54	0.59
-53	0.60
-52	0.62
-51	0.57
-50	0.61
-49	0.54
-48	0.61
-47	0.58
-46	0.65
-45	0.59
-44	0.63
-43	0.58
-42	0.66
-41	0.63
-40	0.60
-39	0.57
-38	0.63
-37	0.59
-36	0.64
-35	0.61
-34	0.66
-33	0.62
-32	0.64
-31	0.63
-30	0.63
-29	0.62
-28	0.63
-27	0.61
-26	0.64
-25	0.63
-24	0.63
-23	0.61
-22	0.65
-21	0.62
-20	0.61
-19	0.65
-18	0.63
-17	0.65
-16	0.63
-15	0.63
-14	0.64
-13	0.66
-12	0.62
-11	0.65
-10	0.62
-9	0.64
-8	0.62
-7	0.64
-6	0.62
-5	0.63
-4	0.63
-3	0.63
-2	0.64
-1	0.68
1	0.67
2	0.62
3	0.63
4	0.63
5	0.62
6	0.58
7	0.60
8	0.57
9	0.61
10	0.56
11	0.59
12	0.57
13	0.59
14	0.56
15	0.58
16	0.57
17	0.60
18	0.54
19	0.61
20	0.56
21	0.63
22	0.56
23	0.61
24	0.58
25	0.58
26	0.56
27	0.64
28	0.58
29	0.63
30	0.58
31	0.62
32	0.57
33	0.62
34	0.61
35	0.60
36	0.57
37	0.63
38	0.60
39	0.61
40	0.59
41	0.65
42	0.64
43	0.60
44	0.55
45	0.60
46	0.60
47	0.63
48	0.61
49	0.64
50	0.65
51	0.62
52	0.65
53	0.66
54	0.64
55	0.61
56	0.64
57	0.65
58	0.60
59	0.67
60	0.63
