# [1]Indel length	[2]Mean VAF
-60	0.56
-59	0.55
-58	0.56
-57	0.52
-56	0.62
-55	0.56
-54	0.59
-53	0.57
-52	0.56
-51	0.54
-50	0.59
-49	0.52
-48	0.59
-47	0.58
-46	0.63
-45	0.56
-44	0.58
-43	0.61
-42	0.58
-41	0.61
-40	0.61
-39	0.61
-38	0.63
-37	0.57
-36	0.63
-35	0.59
-34	0.62
-33	0.59
-32	0.64
-31	0.65
-30	0.64
-29	0.62
-28	0.64
-27	0.60
-26	0.65
-25	0.63
-24	0.62
-23	0.60
-22	0.64
-21	0.60
-20	0.62
-19	0.63
-18	0.64
-17	0.64
-16	0.62
-15	0.61
-14	0.63
-13	0.65
-12	0.62
-11	0.63
-10	0.61
-9	0.62
-8	0.61
-7	0.61
-6	0.61
-5	0.61
-4	0.62
-3	0.61
-2	0.62
-1	0.67
1	0.66
2	0.61
3	0.60
4	0.61
5	0.58
6	0.55
7	0.53
8	0.55
9	0.54
10	0.54
11	0.53
12	0.54
13	0.54
14	0.53
15	0.55
16	0.54
17	0.55
18	0.53
19	0.56
20	0.54
21	0.57
22	0.52
23	0.58
24	0.55
25	0.55
26	0.55
27	0.58
28	0.53
29	0.57
30	0.54
31	0.59
32	0.55
33	0.58
34	0.54
35	0.54
36	0.56
37	0.57
38	0.57
39	0.57
40	0.53
41	0.61
42	0.59
43	0.55
44	0.55
45	0.55
46	0.52
47	0.57
48	0.59
49	0.61
50	0.57
51	0.59
52	0.59
53	0.65
54	0.61
55	0.55
56	0.59
57	0.63
58	0.58
59	0.56
60	0.58
